,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
897,RHPN2,1,1,80,1.3%,"No
"
898,ADD1,1,1,80,1.3%,"No
"
899,PRDM2,1,1,80,1.3%,"No
"
900,PKP3,1,1,80,1.3%,"No
"
901,USP34,1,1,80,1.3%,"No
"
902,SERPINA3,1,1,80,1.3%,"No
"
903,PCDHA9,1,1,80,1.3%,"No
"
904,ST3GAL3,1,1,80,1.3%,"No
"
905,BBOX1,1,1,80,1.3%,"No
"
906,PDGFRA,1,1,80,1.3%,"Yes
"
907,PDE6B,1,1,80,1.3%,"No
"
908,OR4E2,1,1,80,1.3%,"No
"
909,GMEB2,2,2,80,2.5%,"No
"
910,LRRIQ3,1,1,80,1.3%,"No
"
911,RRBP1,1,1,80,1.3%,"No
"
912,ZNF20,1,1,80,1.3%,"No
"
913,ADAMTS4,1,1,80,1.3%,"No
"
914,PPP4R1,1,1,80,1.3%,"No
"
915,OR5C1,1,1,80,1.3%,"No
"
916,GPR87,1,1,80,1.3%,"No
"
917,LZTS3,1,1,80,1.3%,"No
"
918,SIM2,1,1,80,1.3%,"No
"
919,ABCA13,1,1,80,1.3%,"No
"
920,JADE3,1,1,80,1.3%,"No
"
921,AADACL4,1,1,80,1.3%,"No
"
922,RXRG,1,1,80,1.3%,"No
"
923,HUWE1,2,2,80,2.5%,"No
"
924,ABR,1,1,80,1.3%,"No
"
925,SIK3,1,1,80,1.3%,"No
"
926,NME7,1,1,80,1.3%,"No
"
927,PYCR2,1,1,80,1.3%,"No
"
928,SLC26A9,1,1,80,1.3%,"No
"
929,C12ORF71,1,1,80,1.3%,"No
"
930,PCGF6,1,1,80,1.3%,"No
"
931,KRTAP4-9,1,1,80,1.3%,"No
"
932,C4ORF17,1,1,80,1.3%,"No
"
933,AMOTL2,1,1,80,1.3%,"No
"
934,ZSCAN20,1,1,80,1.3%,"No
"
935,PTPRU,1,1,80,1.3%,"No
"
936,PRKAG2,1,1,80,1.3%,"No
"
937,WDHD1,1,1,80,1.3%,"No
"
938,POLK,1,1,80,1.3%,"No
"
939,RYR2,2,2,80,2.5%,"No
"
940,RP1L1,1,1,80,1.3%,"No
"
941,DUSP11,1,1,80,1.3%,"No
"
942,CAMSAP1,1,1,80,1.3%,"No
"
943,TTLL13,1,1,80,1.3%,"No
"
944,NCAPH,1,1,80,1.3%,"No
"
945,SEPTIN6,1,1,80,1.3%,"Yes
"
946,RYR1,1,1,80,1.3%,"No
"
947,BAZ2A,1,1,80,1.3%,"No
"
948,PUS3,1,1,80,1.3%,"No
"
949,ASIC1,1,1,80,1.3%,"No
"
950,DPP4,1,1,80,1.3%,"No
"
951,OR11H1,1,1,80,1.3%,"No
"
952,EPPK1,1,1,80,1.3%,"No
"
953,COL25A1,1,1,80,1.3%,"No
"
954,CLEC3B,1,1,80,1.3%,"No
"
955,PER1,1,1,80,1.3%,"Yes
"
956,SPEG,2,2,80,2.5%,"No
"
957,UGT2B17,1,1,80,1.3%,"No
"
958,UMOD,1,1,80,1.3%,"No
"
959,KIAA0586,1,1,80,1.3%,"No
"
960,DLGAP5,1,1,80,1.3%,"No
"
961,LARP1,1,1,80,1.3%,"No
"
962,TRIM67,1,1,80,1.3%,"No
"
963,TNS3,2,2,80,2.5%,"No
"
964,PLXND1,1,1,80,1.3%,"No
"
965,ARHGDIA,1,1,80,1.3%,"No
"
966,DR1,1,1,80,1.3%,"No
"
967,GRK3,1,1,80,1.3%,"No
"
968,WDR75,1,1,80,1.3%,"No
"
969,OBSL1,1,1,80,1.3%,"No
"
970,NR3C1,1,1,80,1.3%,"No
"
971,MARCHF6,1,1,80,1.3%,"No
"
972,GRIN2B,1,1,80,1.3%,"No
"
973,CCER1,1,1,80,1.3%,"No
"
974,GRIN2A,1,1,80,1.3%,"Yes
"
975,HR,1,1,80,1.3%,"No
"
976,OR51L1,1,1,80,1.3%,"No
"
977,ACP2,1,1,80,1.3%,"No
"
978,LRP2BP,1,1,80,1.3%,"No
"
979,COL14A1,3,3,80,3.8%,"No
"
980,TRERF1,1,1,80,1.3%,"No
"
981,CFP,1,1,80,1.3%,"No
"
982,NREP,1,1,80,1.3%,"No
"
983,CCDC89,1,1,80,1.3%,"No
"
984,C6ORF89,1,1,80,1.3%,"No
"
985,ZNF324,1,1,80,1.3%,"No
"
986,C20ORF96,1,1,80,1.3%,"No
"
987,ATG2A,1,1,80,1.3%,"No
"
988,ACTB,1,1,80,1.3%,"Yes
"
989,DSG1,1,1,80,1.3%,"No
"
990,DSCAM,1,1,80,1.3%,"No
"
991,WDR90,1,1,80,1.3%,"Yes
"
992,DSC1,1,1,80,1.3%,"No
"
993,OTUD4,1,1,80,1.3%,"No
"
994,SLC26A5,1,1,80,1.3%,"No
"
995,SYNE1,2,2,80,2.5%,"No
"
996,SAMD15,1,1,80,1.3%,"No
"
997,ANKK1,1,1,80,1.3%,"No
"
998,CASP14,1,1,80,1.3%,"No
"
999,PLAAT5,1,1,80,1.3%,"No
"
1000,MUC17,1,1,80,1.3%,"No
"
1001,TMEM132A,1,1,80,1.3%,"No
"
1002,ASB11,1,1,80,1.3%,"No
"
1003,STAG1,1,1,80,1.3%,"Yes
"
1004,PAG1,3,1,80,1.3%,"Yes
"
1005,SMARCAD1,1,1,80,1.3%,"No
"
1006,ASB6,1,1,80,1.3%,"No
"
1007,DTNA,2,2,80,2.5%,"No
"
1008,PRSS16,1,1,80,1.3%,"No
"
1009,CD160,1,1,80,1.3%,"No
"
1010,FAM161A,1,1,80,1.3%,"No
"
1011,SMC1A,1,1,80,1.3%,"Yes
"
1012,CD163,1,1,80,1.3%,"No
"
1013,HMGXB4,1,1,80,1.3%,"No
"
1014,TBC1D15,1,1,80,1.3%,"No
"
1015,ZFP1,1,1,80,1.3%,"No
"
1016,EPS8L2,1,1,80,1.3%,"No
"
1017,MROH1,1,1,80,1.3%,"No
"
1018,CAND1,1,1,80,1.3%,"No
"
1019,HSD17B7,1,1,80,1.3%,"No
"
1020,DGKQ,2,1,80,1.3%,"No
"
1021,CPVL,1,1,80,1.3%,"No
"
1022,MYO3B,1,1,80,1.3%,"No
"
1023,GSR,1,1,80,1.3%,"No
"
1024,EIF1B,2,2,80,2.5%,"No
"
1025,DNAJB6,1,1,80,1.3%,"No
"
1026,ZNF518B,1,1,80,1.3%,"No
"
1027,PPFIBP2,1,1,80,1.3%,"No
"
1028,FRMD7,1,1,80,1.3%,"No
"
1029,SGSM1,1,1,80,1.3%,"No
"
1030,GJA5,1,1,80,1.3%,"No
"
1031,CYSLTR2,3,3,80,3.8%,"Yes
"
1032,DAPK1,2,1,80,1.3%,"No
"
1033,MAP3K19,2,2,80,2.5%,"No
"
1034,PRRC2B,1,1,80,1.3%,"No
"
1035,GSTA4,1,1,80,1.3%,"No
"
1036,OR2B2,1,1,80,1.3%,"No
"
1037,DVL2,1,1,80,1.3%,"No
"
1038,SLIT2,1,1,80,1.3%,"No
"
1039,STAM,1,1,80,1.3%,"No
"
1040,LRRC8A,1,1,80,1.3%,"No
"
1041,ZNF525,1,1,80,1.3%,"No
"
1042,YPEL1,1,1,80,1.3%,"No
"
1043,KIR2DL4,1,1,80,1.3%,"No
"
1044,CAMK1D,1,1,80,1.3%,"No
"
1045,TNS4,1,1,80,1.3%,"No
"
1046,KCNH5,2,2,80,2.5%,"No
"
1047,IGHV1-46,1,1,80,1.3%,"No
"
1048,BICC1,1,1,80,1.3%,"No
"
1049,CGNL1,1,1,80,1.3%,"No
"
1050,PCARE,1,1,80,1.3%,"No
"
1051,GLA,1,1,80,1.3%,"No
"
1052,SOST,1,1,80,1.3%,"No
"
1053,KIR2DL1,1,1,80,1.3%,"No
"
1054,ROS1,1,1,80,1.3%,"Yes
"
1055,TRAF3,1,1,80,1.3%,"Yes
"
1056,GAPT,1,1,80,1.3%,"No
"
1057,BLOC1S6,1,1,80,1.3%,"No
"
1058,ZBTB11,1,1,80,1.3%,"No
"
1059,ROBO2,1,1,80,1.3%,"No
"
1060,TMOD2,1,1,80,1.3%,"No
"
1061,CPNE6,1,1,80,1.3%,"No
"
1062,RAB33A,1,1,80,1.3%,"No
"
1063,ZNF527,1,1,80,1.3%,"No
"
1064,E2F7,2,2,80,2.5%,"No
"
1065,FRAS1,1,1,80,1.3%,"No
"
1066,BEST3,1,1,80,1.3%,"No
"
1067,GTF2E2,1,1,80,1.3%,"No
"
1068,KIR3DL2,1,1,80,1.3%,"No
"
1069,ZNF860,1,1,80,1.3%,"No
"
1070,NRXN1,1,1,80,1.3%,"No
"
1071,ZNF764,1,1,80,1.3%,"No
"
1072,BTNL3,1,1,80,1.3%,"No
"
1073,EHMT2,1,1,80,1.3%,"No
"
1074,RGL3,1,1,80,1.3%,"No
"
1075,FASTK,1,1,80,1.3%,"No
"
1076,FAM171A1,1,1,80,1.3%,"No
"
1077,PARD3,1,1,80,1.3%,"No
"
1078,FBXO10,1,1,80,1.3%,"No
"
1079,CBX2,1,1,80,1.3%,"No
"
1080,C1ORF94,1,1,80,1.3%,"No
"
1081,GLI2,1,1,80,1.3%,"No
"
1082,SLC22A14,1,1,80,1.3%,"No
"
1083,ALG1,1,1,80,1.3%,"No
"
1084,AGAP7P,1,1,80,1.3%,"No
"
1085,SLC2A8,1,1,80,1.3%,"No
"
1086,TOX3,1,1,80,1.3%,"No
"
1087,COG1,1,1,80,1.3%,"No
"
1088,RNPEPL1,1,1,80,1.3%,"No
"
1089,KPNB1,1,1,80,1.3%,"No
"
1090,CMYA5,1,1,80,1.3%,"No
"
1091,GLP1R,1,1,80,1.3%,"No
"
1092,PLD5,1,1,80,1.3%,"No
"
1093,ROR2,1,1,80,1.3%,"No
"
1094,OR7D4,1,1,80,1.3%,"No
"
1095,LRRC15,1,1,80,1.3%,"No
"
1096,PCSK7,2,2,80,2.5%,"Yes
"
1097,OR2L2,1,1,80,1.3%,"No
"
1098,TKFC,2,2,80,2.5%,"No
"
1099,KLHL3,1,1,80,1.3%,"No
"
1100,BICRA,1,1,80,1.3%,"No
"
1101,RPS6KA6,1,1,80,1.3%,"No
"
1102,RNF167,1,1,80,1.3%,"No
"
1103,JPH2,1,1,80,1.3%,"No
"
1104,TLN2,1,1,80,1.3%,"No
"
1105,FUT10,1,1,80,1.3%,"No
"
1106,PAXBP1,1,1,80,1.3%,"No
"
1107,OR2A14,1,1,80,1.3%,"No
"
1108,GNA11,36,36,80,45.0%,"Yes
"
1109,DIP2A,1,1,80,1.3%,"No
"
1110,PGBD1,1,1,80,1.3%,"No
"
1111,ZNF462,1,1,80,1.3%,"No
"
1112,FUS,1,1,80,1.3%,"Yes
"
1113,APEX2,1,1,80,1.3%,"No
"
1114,TPPP2,1,1,80,1.3%,"No
"
1115,PHLDB1,2,1,80,1.3%,"No
"
1116,SLC2A10,1,1,80,1.3%,"No
"
1117,NEB,1,1,80,1.3%,"No
"
1118,SNTN,1,1,80,1.3%,"No
"
1119,GNB1,2,2,80,2.5%,"Yes
"
1120,TMEM35A,1,1,80,1.3%,"No
"
1121,B3GAT3,1,1,80,1.3%,"No
"
1122,KMT2D,1,1,80,1.3%,"Yes
"
1123,CSN1S1,1,1,80,1.3%,"No
"
1124,GSDME,1,1,80,1.3%,"No
"
1125,GNAQ,41,40,80,50.0%,"Yes
"
1126,MDN1,1,1,80,1.3%,"No
"
1127,CFAP52,2,2,80,2.5%,"No
"
1128,PSME4,1,1,80,1.3%,"No
"
1129,TRAV40,1,1,80,1.3%,"No
"
1130,ODC1,1,1,80,1.3%,"No
"
1131,KRT16,1,1,80,1.3%,No
