,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
2121,OR5K1,3,2,57,3.5%,"No
"
2122,OR5L2,1,1,57,1.8%,"No
"
2123,ZNF549,2,1,57,1.8%,"No
"
2124,KLF6,1,1,57,1.8%,"Yes
"
2125,BLOC1S1,1,1,57,1.8%,"No
"
2126,ASTE1,1,1,57,1.8%,"No
"
2127,COPB1,3,3,57,5.3%,"No
"
2128,GCKR,1,1,57,1.8%,"No
"
2129,COPA,1,1,57,1.8%,"No
"
2130,GCK,1,1,57,1.8%,"No
"
2131,TMEM31,1,1,57,1.8%,"No
"
2132,PIWIL4,2,1,57,1.8%,"No
"
2133,COL19A1,1,1,57,1.8%,"No
"
2134,LHCGR,4,3,57,5.3%,"No
"
2135,NR6A1,1,1,57,1.8%,"No
"
2136,RASGEF1B,1,1,57,1.8%,"No
"
2137,LIPE,1,1,57,1.8%,"No
"
2138,GDF9,1,1,57,1.8%,"No
"
2139,MSTN,1,1,57,1.8%,"No
"
2140,GPR52,1,1,57,1.8%,"No
"
2141,TAB3,1,1,57,1.8%,"No
"
2142,S1PR2,1,1,57,1.8%,"Yes
"
2143,MAP3K8,2,1,57,1.8%,"No
"
2144,FAT3,6,3,57,5.3%,"No
"
2145,PRTG,1,1,57,1.8%,"No
"
2146,CNBD1,2,1,57,1.8%,"No
"
2147,SLC24A5,1,1,57,1.8%,"No
"
2148,LIMCH1,1,1,57,1.8%,"No
"
2149,RIMS1,2,1,57,1.8%,"No
"
2150,SPATS2,1,1,57,1.8%,"No
"
2151,SNX21,1,1,57,1.8%,"No
"
2152,PCNX1,1,1,57,1.8%,"No
"
2153,ZSWIM4,1,1,57,1.8%,"No
"
2154,HASPIN,1,1,57,1.8%,"No
"
2155,CEP152,1,1,57,1.8%,"No
"
2156,MCMBP,1,1,57,1.8%,"No
"
2157,IGSF9B,2,2,57,3.5%,"No
"
2158,ZNF671,1,1,57,1.8%,"No
"
2159,LARGE2,1,1,57,1.8%,"No
"
2160,GEM,2,2,57,3.5%,"No
"
2161,L1TD1,1,1,57,1.8%,"No
"
2162,ZFAT,3,3,57,5.3%,"No
"
2163,NYAP2,1,1,57,1.8%,"No
"
2164,THNSL1,1,1,57,1.8%,"No
"
2165,ATP8B4,1,1,57,1.8%,"No
"
2166,OR5P2,1,1,57,1.8%,"No
"
2167,STIM2,2,1,57,1.8%,"No
"
2168,PRR5L,1,1,57,1.8%,"No
"
2169,KLHL1,1,1,57,1.8%,"No
"
2170,DPP10,5,4,57,7.0%,"No
"
2171,CYP4V2,1,1,57,1.8%,"No
"
2172,LRRN1,1,1,57,1.8%,"No
"
2173,HEPHL1,3,3,57,5.3%,"No
"
2174,EP400,2,2,57,3.5%,"Yes
"
2175,FBXO41,1,1,57,1.8%,"No
"
2176,PSMD2,1,1,57,1.8%,"No
"
2177,MAP9,1,1,57,1.8%,"No
"
2178,GFRA1,1,1,57,1.8%,"No
"
2179,IL36G,1,1,57,1.8%,"No
"
2180,GFPT1,1,1,57,1.8%,"No
"
2181,CPLANE1,1,1,57,1.8%,"No
"
2182,WNK4,1,1,57,1.8%,"No
"
2183,C8ORF33,1,1,57,1.8%,"No
"
2184,WNK2,1,1,57,1.8%,"No
"
2185,WNK3,1,1,57,1.8%,"No
"
2186,ZNF605,1,1,57,1.8%,"No
"
2187,CPD,1,1,57,1.8%,"No
"
2188,TPX2,1,1,57,1.8%,"No
"
2189,PSMD11,1,1,57,1.8%,"No
"
2190,MYH7B,1,1,57,1.8%,"No
"
2191,SPRTN,1,1,57,1.8%,"Yes
"
2192,CPA3,1,1,57,1.8%,"No
"
2193,TTC30B,1,1,57,1.8%,"No
"
2194,USP28,1,1,57,1.8%,"No
"
2195,DHX37,1,1,57,1.8%,"No
"
2196,HDAC10,1,1,57,1.8%,"No
"
2197,CP,2,2,57,3.5%,"No
"
2198,COL20A1,1,1,57,1.8%,"No
"
2199,ZSWIM5,1,1,57,1.8%,"No
"
2200,LILRB5,1,1,57,1.8%,"No
"
2201,NCOA7,1,1,57,1.8%,"No
"
2202,KIAA1522,1,1,57,1.8%,"No
"
2203,CPS1,1,1,57,1.8%,"Yes
"
2204,CPOX,1,1,57,1.8%,"No
"
2205,MAST1,2,2,57,3.5%,"No
"
2206,ACIN1,1,1,57,1.8%,"No
"
2207,SORCS3,1,1,57,1.8%,"No
"
2208,PTEN,16,11,57,19.3%,"Yes
"
2209,GRAMD1A,1,1,57,1.8%,"No
"
2210,CPN1,1,1,57,1.8%,"No
"
2211,HCN3,1,1,57,1.8%,"No
"
2212,CALCOCO1,1,1,57,1.8%,"No
"
2213,GJA1,1,1,57,1.8%,"No
"
2214,CLDN4,1,1,57,1.8%,"No
"
2215,UVSSA,1,1,57,1.8%,"No
"
2216,ILKAP,1,1,57,1.8%,"No
"
2217,MSRB3,1,1,57,1.8%,"No
"
2218,OR4N4,2,1,57,1.8%,"No
"
2219,FAM83G,1,1,57,1.8%,"No
"
2220,PTCH1,2,2,57,3.5%,"Yes
"
2221,PHRF1,1,1,57,1.8%,"No
"
2222,CRABP1,1,1,57,1.8%,"No
"
2223,CR2,1,1,57,1.8%,"No
"
2224,P2RX2,1,1,57,1.8%,"No
"
2225,TTC22,2,2,57,3.5%,"No
"
2226,TRMT61B,1,1,57,1.8%,"No
"
2227,USP29,3,1,57,1.8%,"No
"
2228,PLEKHA4,1,1,57,1.8%,"No
"
2229,CPT1B,1,1,57,1.8%,"No
"
2230,RDH14,2,2,57,3.5%,"No
"
2231,CKAP4,1,1,57,1.8%,"No
"
2232,OR1S1,2,1,57,1.8%,"No
"
2233,OR1S2,2,1,57,1.8%,"No
"
2234,OR9Q2,1,1,57,1.8%,"No
"
2235,PTGFRN,1,1,57,1.8%,"No
"
2236,ASCC3,1,1,57,1.8%,"No
"
2237,ZNF551,1,1,57,1.8%,"No
"
2238,KIAA1549,2,2,57,3.5%,"No
"
2239,RASL11A,1,1,57,1.8%,"No
"
2240,OR10V1,1,1,57,1.8%,"No
"
2241,CRHR1,1,1,57,1.8%,"No
"
2242,PARPBP,1,1,57,1.8%,"No
"
2243,ZFP14,1,1,57,1.8%,"No
"
2244,GPAM,1,1,57,1.8%,"No
"
2245,METAP2,1,1,57,1.8%,"No
"
2246,PPAN,1,1,57,1.8%,"No
"
2247,RNF213,2,2,57,3.5%,"Yes
"
2248,CREBBP,4,3,57,5.3%,"Yes
"
2249,CCNI,1,1,57,1.8%,"No
"
2250,MAPRE2,1,1,57,1.8%,"No
"
2251,PATL1,1,1,57,1.8%,"No
"
2252,SIRT2,1,1,57,1.8%,"No
"
2253,ELL2,1,1,57,1.8%,"No
"
2254,OTULIN,1,1,57,1.8%,"No
"
2255,MYO1B,2,2,57,3.5%,"No
"
2256,CHD8,3,1,57,1.8%,"No
"
2257,ZDBF2,5,3,57,5.3%,"No
"
2258,MARCHF8,1,1,57,1.8%,"No
"
2259,RAB18,1,1,57,1.8%,"No
"
2260,SLCO4A1,1,1,57,1.8%,"No
"
2261,ARX,1,1,57,1.8%,"No
"
2262,LRRC4C,1,1,57,1.8%,"No
"
2263,OS9,1,1,57,1.8%,"No
"
2264,PHIP,3,2,57,3.5%,"No
"
