,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
2933,DDX25,1,1,41,2.4%,"No
"
2934,LRRC75A,1,1,41,2.4%,"No
"
2935,LRRC37B,1,1,41,2.4%,"No
"
2936,FYCO1,1,1,41,2.4%,"No
"
2937,RPTN,2,2,41,4.9%,"No
"
2938,RNF133,2,2,41,4.9%,"No
"
2939,PALM3,1,1,41,2.4%,"No
"
2940,IL6,2,1,41,2.4%,"No
"
2941,BIRC7,1,1,41,2.4%,"No
"
2942,IL4R,1,1,41,2.4%,"No
"
2943,SEMA4B,1,1,41,2.4%,"No
"
2944,TAGLN3,1,1,41,2.4%,"No
"
2945,CD58,3,3,41,7.3%,"Yes
"
2946,PEAR1,1,1,41,2.4%,"No
"
2947,POTEF,1,1,41,2.4%,"No
"
2948,ZNF546,1,1,41,2.4%,"No
"
2949,PPP1R16B,1,1,41,2.4%,"No
"
2950,ATP10D,1,1,41,2.4%,"No
"
2951,ZNF181,1,1,41,2.4%,"No
"
2952,CD70,4,4,41,9.8%,"Yes
"
2953,CXCR2,1,1,41,2.4%,"No
"
2954,CD74,1,1,41,2.4%,"Yes
"
2955,CD79A,2,2,41,4.9%,"Yes
"
2956,CD79B,7,5,41,12.2%,"Yes
"
2957,FGD1,1,1,41,2.4%,"No
"
2958,ANKRD17,1,1,41,2.4%,"No
"
2959,ZNF248,1,1,41,2.4%,"No
"
2960,SLITRK5,1,1,41,2.4%,"No
"
2961,FGFR4,1,1,41,2.4%,"Yes
"
2962,FGFR2,1,1,41,2.4%,"Yes
"
2963,IL12RB1,1,1,41,2.4%,"No
"
2964,CDK11B,1,1,41,2.4%,"No
"
2965,CDC5L,1,1,41,2.4%,"No
"
2966,SEPTIN7,1,1,41,2.4%,"No
"
2967,HARBI1,1,1,41,2.4%,"No
"
2968,EXD1,1,1,41,2.4%,"No
"
2969,CNPY4,1,1,41,2.4%,"No
"
2970,CDC25B,1,1,41,2.4%,"No
"
2971,IL13RA1,1,1,41,2.4%,"No
"
2972,NPAS4,1,1,41,2.4%,"No
"
2973,SNTB1,1,1,41,2.4%,"No
"
2974,SOX17,1,1,41,2.4%,"Yes
"
2975,SNX1,1,1,41,2.4%,"No
"
2976,NBEA,3,3,41,7.3%,"No
"
2977,SNRPD2,1,1,41,2.4%,"No
"
2978,EFHB,1,1,41,2.4%,"No
"
2979,SNRPN,1,1,41,2.4%,"No
"
2980,LGI3,1,1,41,2.4%,"No
"
2981,PITX2,1,1,41,2.4%,"No
"
2982,SCGN,1,1,41,2.4%,"No
"
2983,SON,2,2,41,4.9%,"No
"
2984,SMC2,2,2,41,4.9%,"No
"
2985,SORL1,3,3,41,7.3%,"No
"
2986,ARHGEF5,1,1,41,2.4%,"No
"
2987,FOXD4,1,1,41,2.4%,"No
"
2988,FOXC1,4,3,41,7.3%,"No
"
2989,HDDC2,1,1,41,2.4%,"No
"
2990,LOXHD1,2,2,41,4.9%,"No
"
2991,FKBP5,1,1,41,2.4%,"No
"
2992,ZNF677,1,1,41,2.4%,"No
"
2993,SOD3,1,1,41,2.4%,"No
"
2994,HS6ST3,1,1,41,2.4%,"No
"
2995,SOX5,1,1,41,2.4%,"No
"
2996,KAT6A,1,1,41,2.4%,"Yes
"
2997,HIF3A,1,1,41,2.4%,"No
"
2998,PLCB4,1,1,41,2.4%,"No
"
2999,PLCL1,1,1,41,2.4%,"No
"
3000,SOX11,1,1,41,2.4%,"No
"
3001,SOX3,1,1,41,2.4%,"No
"
3002,OR10A4,1,1,41,2.4%,"No
"
3003,PLG,1,1,41,2.4%,"No
"
3004,PLEK,1,1,41,2.4%,"No
"
3005,ESPL1,1,1,41,2.4%,"No
"
3006,SLC22A23,2,2,41,4.9%,"No
"
3007,TACC2,2,2,41,4.9%,"No
"
3008,PLCG1,1,1,41,2.4%,"Yes
"
3009,SP1,1,1,41,2.4%,"No
"
3010,PLCG2,1,1,41,2.4%,"Yes
"
3011,PLD1,1,1,41,2.4%,"No
"
3012,PLD2,1,1,41,2.4%,"No
"
3013,PLEC,3,1,41,2.4%,"No
"
3014,KRTAP2-4,1,1,41,2.4%,"No
"
3015,ZNF804B,2,2,41,4.9%,"No
"
3016,RUBCN,1,1,41,2.4%,"No
"
3017,GABRR3,1,1,41,2.4%,"No
"
3018,PLRG1,1,1,41,2.4%,"No
"
3019,GARRE1,1,1,41,2.4%,"No
"
3020,PCYOX1L,1,1,41,2.4%,"No
"
3021,LAP3,1,1,41,2.4%,"No
"
3022,SLC26A7,1,1,41,2.4%,"No
"
3023,GRIN3A,1,1,41,2.4%,"No
"
3024,WDPCP,1,1,41,2.4%,"No
"
3025,ARID2,1,1,41,2.4%,"Yes
"
3026,LOX,1,1,41,2.4%,"No
"
3027,DHX34,1,1,41,2.4%,"No
"
3028,PLK1,1,1,41,2.4%,"No
"
3029,FAM135B,1,1,41,2.4%,"No
"
3030,FXYD3,1,1,41,2.4%,"No
"
3031,MAB21L2,1,1,41,2.4%,"No
"
3032,STARD13,1,1,41,2.4%,"No
"
3033,PLXNA1,1,1,41,2.4%,"No
"
