,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
18316,NDUFA7,2,2,517,0.4%,"No
"
18317,NDUFA8,13,12,517,2.3%,"No
"
18318,NEB,420,106,517,20.5%,"No
"
18319,NDUFA9,27,21,517,4.1%,"No
"
18320,DYNC2LI1,21,18,517,3.5%,"No
"
18321,SLC25A39,12,10,517,1.9%,"No
"
18322,TAAR1,18,14,517,2.7%,"No
"
18323,C3ORF49,7,7,517,1.4%,"No
"
18324,TAAR9,17,16,517,3.1%,"No
"
18325,SYNPR,14,11,517,2.1%,"No
"
18326,SNTN,12,10,517,1.9%,"No
"
18327,NT5DC2,23,19,517,3.7%,"No
"
18328,CENPH,11,11,517,2.1%,"No
"
18329,NRK,131,66,517,12.8%,"No
"
18330,NDUFB10,5,5,517,1.0%,"No
"
18331,NDUFC1,1,1,517,0.2%,"No
"
18332,NDUFC2,10,10,517,1.9%,"No
"
18333,NDUFS1,36,30,517,5.8%,"No
"
18334,DBX1,23,21,517,4.1%,"No
"
18335,CFAP52,46,31,517,6.0%,"No
"
18336,CCDC42,26,22,517,4.3%,"No
"
18337,NDUFB4,3,3,517,0.6%,"No
"
18338,RBMX2,33,28,517,5.4%,"No
"
18339,NDUFB5,8,7,517,1.4%,"No
"
18340,OTUD6B,13,12,517,2.3%,"No
"
18341,NDUFB6,9,8,517,1.5%,"No
"
18342,NDUFB7,7,7,517,1.4%,"No
"
18343,DHRS7,33,26,517,5.0%,"No
"
