,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
10962,ATP1B3,6,6,534,1.1%,"No
"
10963,FXYD2,1,1,534,0.2%,"No
"
10964,ATP2A1,23,21,534,3.9%,"No
"
10965,ATP2A2,18,16,534,3.0%,"No
"
10966,ATP2A3,15,15,534,2.8%,"No
"
10967,RPA1,14,13,534,2.4%,"No
"
10968,VTN,22,20,534,3.7%,"No
"
10969,RPA3,1,1,534,0.2%,"No
"
10970,SIGLEC5,10,9,534,1.7%,"No
"
10971,RPA2,2,2,534,0.4%,"No
"
10972,LAT2,3,3,534,0.6%,"No
"
10973,TNFRSF10C,5,5,534,0.9%,"No
"
10974,RPL7A,1,1,534,0.2%,"No
"
10975,CLIP2,20,17,534,3.2%,"No
"
10976,TNFRSF10B,8,6,534,1.1%,"No
"
10977,RPL9,3,3,534,0.6%,"No
"
10978,CORO2A,5,4,534,0.7%,"No
"
10979,TNFRSF11A,9,9,534,1.7%,"Yes
"
10980,RPL8,5,4,534,0.7%,"No
"
10981,TNFRSF10D,4,4,534,0.7%,"No
"
10982,RPL11,3,3,534,0.6%,"No
"
10983,WFS1,13,12,534,2.2%,"No
"
10984,DYRK4,11,11,534,2.1%,"No
"
10985,RPL10,2,2,534,0.4%,"Yes
"
10986,WEE1,5,4,534,0.7%,"No
"
10987,PEX11B,4,4,534,0.7%,"No
"
10988,RPL13,1,1,534,0.2%,"No
"
10989,NSD2,23,18,534,3.4%,"Yes
"
10990,SCEL,14,13,534,2.4%,"No
"
10991,RPL12,3,3,534,0.6%,"No
"
10992,TNFRSF10A,12,11,534,2.1%,"No
"
10993,OR51F1,7,7,534,1.3%,"No
"
10994,ATP2B1,23,16,534,3.0%,"No
"
10995,ATP2B2,33,28,534,5.2%,"No
"
10996,FPGT,10,10,534,1.9%,"No
"
10997,ATP2B3,30,26,534,4.9%,"Yes
"
10998,ATP2B4,25,19,534,3.6%,"No
"
10999,ATP4A,24,20,534,3.7%,"No
"
11000,ATP4B,6,6,534,1.1%,"No
"
11001,RNF169,10,9,534,1.7%,"No
"
11002,CALHM5,6,6,534,1.1%,"No
"
11003,ATP5F1A,8,8,534,1.5%,"No
"
11004,RPL6,5,5,534,0.9%,"No
"
11005,EIF4H,4,4,534,0.7%,"No
"
11006,FBP2,10,10,534,1.9%,"No
"
11007,RPL7,6,6,534,1.1%,"No
"
11008,RPL18A,5,5,534,0.9%,"No
"
11009,WNT3,10,9,534,1.7%,"No
"
11010,WNT2,8,8,534,1.5%,"No
"
11011,RPL21,3,3,534,0.6%,"No
"
