,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
571,IL17RD,1,1,149,0.7%,"No
"
572,MRPL3,1,1,149,0.7%,"No
"
573,ADAM17,1,1,149,0.7%,"No
"
574,NBEAL2,1,1,149,0.7%,"No
"
575,MAP3K7,1,1,149,0.7%,"Yes
"
576,SEL1L,1,1,149,0.7%,"No
"
577,CLK3,1,1,149,0.7%,"No
"
578,ZNF555,1,1,149,0.7%,"No
"
579,EPHA5,1,1,149,0.7%,"Yes
"
580,ZC3H4,1,1,149,0.7%,"No
"
581,LETMD1,1,1,149,0.7%,"No
"
582,CLK1,1,1,149,0.7%,"No
"
583,EPHA3,1,1,149,0.7%,"Yes
"
584,SULF1,1,1,149,0.7%,"No
"
585,ZFR2,1,1,149,0.7%,"No
"
586,PCSK4,1,1,149,0.7%,"No
"
587,TRIM44,1,1,149,0.7%,"No
"
588,ARID5B,1,1,149,0.7%,"Yes
"
589,FCHSD1,2,1,149,0.7%,"No
"
590,ZRANB1,1,1,149,0.7%,"No
"
591,MRC2,1,1,149,0.7%,"No
"
592,BTN2A2,1,1,149,0.7%,"No
"
593,ASAP3,1,1,149,0.7%,"No
"
594,SEC63,1,1,149,0.7%,"No
"
595,TAF5,1,1,149,0.7%,"No
"
596,SCML2,1,1,149,0.7%,"No
"
597,OLFML3,1,1,149,0.7%,"No
"
598,TAF7,1,1,149,0.7%,"No
"
599,RNASEH2C,1,1,149,0.7%,"No
"
600,CHD6,1,1,149,0.7%,"No
"
601,PRKAA2,1,1,149,0.7%,"No
"
602,JPT2,1,1,149,0.7%,"No
"
603,ZNF189,1,1,149,0.7%,"No
"
604,EPHX1,1,1,149,0.7%,"No
"
605,EPHB4,3,3,149,2.0%,"Yes
"
606,SEC16A,1,1,149,0.7%,"No
"
607,CACNA1C,2,2,149,1.3%,"No
"
608,TTC27,1,1,149,0.7%,"No
"
609,ZC3H18,1,1,149,0.7%,"No
"
610,CACNA1E,1,1,149,0.7%,"No
"
611,SELP,1,1,149,0.7%,"No
"
612,SMPD4,1,1,149,0.7%,"No
"
613,FAR1,1,1,149,0.7%,"No
"
614,SELL,1,1,149,0.7%,"No
"
615,CFAP46,1,1,149,0.7%,"No
"
616,ZNF184,1,1,149,0.7%,"No
"
617,SEMG1,1,1,149,0.7%,"No
"
618,ZMYM2,1,1,149,0.7%,"Yes
"
619,SFPQ,1,1,149,0.7%,"Yes
"
620,HELZ,1,1,149,0.7%,"No
"
621,ERICH6,1,1,149,0.7%,"No
"
622,PLPPR5,1,1,149,0.7%,"No
"
623,ERCC1,2,2,149,1.3%,"No
"
624,MRPL58,1,1,149,0.7%,"No
"
625,DCAF12,1,1,149,0.7%,"No
"
626,ERBB2,1,1,149,0.7%,"Yes
"
627,RTKN2,1,1,149,0.7%,"No
"
628,FAM149A,1,1,149,0.7%,"No
"
629,KRBOX4,1,1,149,0.7%,"No
"
630,EPS8,1,1,149,0.7%,"No
"
631,PLCZ1,1,1,149,0.7%,"No
"
632,EPRS1,1,1,149,0.7%,"No
"
633,HMG20B,1,1,149,0.7%,"No
"
634,AKAP13,1,1,149,0.7%,"No
"
635,TAF1L,1,1,149,0.7%,"No
"
636,ASXL1,1,1,149,0.7%,"Yes
"
637,DYNC2I2,1,1,149,0.7%,"No
"
638,ZNF217,2,2,149,1.3%,"Yes
"
639,CASC3,1,1,149,0.7%,"No
"
640,ERCC5,1,1,149,0.7%,"Yes
"
641,EDC4,2,2,149,1.3%,"No
"
642,MTO1,1,1,149,0.7%,"No
"
643,CAD,1,1,149,0.7%,"Yes
"
644,LRRC66,1,1,149,0.7%,"No
"
645,ZNF880,1,1,149,0.7%,"No
"
646,TLR7,2,2,149,1.3%,"No
"
647,PTGES3L-AARSD1,1,1,149,0.7%,"No
"
648,BNC2,1,1,149,0.7%,"No
"
649,SOGA1,1,1,149,0.7%,"No
"
650,MGAT3,1,1,149,0.7%,"No
"
651,OR1L8,1,1,149,0.7%,"No
"
652,PRDM9,1,1,149,0.7%,"No
"
653,PRKDC,1,1,149,0.7%,"Yes
"
654,ZNF296,1,1,149,0.7%,"No
"
655,NIPBL,1,1,149,0.7%,"No
"
656,SETD3,1,1,149,0.7%,"Yes
"
657,RSPH10B,1,1,149,0.7%,"No
"
658,MAPK6,1,1,149,0.7%,"No
"
659,USP12,1,1,149,0.7%,"No
"
660,ZNF697,1,1,149,0.7%,"No
"
661,HECTD1,1,1,149,0.7%,"No
"
662,PLXNB2,1,1,149,0.7%,"No
"
663,CD320,1,1,149,0.7%,"No
"
664,APC,1,1,149,0.7%,"Yes
"
665,BPIFA1,1,1,149,0.7%,"No
"
666,TCTN1,1,1,149,0.7%,"No
"
667,AIRE,2,1,149,0.7%,"No
"
668,MAGEC1,1,1,149,0.7%,"No
"
669,ZNF628,1,1,149,0.7%,"No
"
670,BIRC2,1,1,149,0.7%,"No
"
671,PKDREJ,1,1,149,0.7%,"No
"
672,FAM118B,1,1,149,0.7%,"No
"
673,ABCA7,1,1,149,0.7%,"No
"
674,AMMECR1,1,1,149,0.7%,"No
"
675,USP48,1,1,149,0.7%,"No
"
676,UBE2F,1,1,149,0.7%,"No
"
677,ZP2,1,1,149,0.7%,"No
"
678,TYRO3,1,1,149,0.7%,"Yes
"
679,SKAP1,1,1,149,0.7%,"No
"
680,SLC23A2,1,1,149,0.7%,"No
"
681,PCSK5,1,1,149,0.7%,"No
"
682,DNAH17,1,1,149,0.7%,"No
"
683,SLC23A1,1,1,149,0.7%,"No
"
684,CBLC,1,1,149,0.7%,"Yes
"
685,CCDC158,1,1,149,0.7%,"No
"
686,GDAP1,1,1,149,0.7%,"No
"
687,TULP4,1,1,149,0.7%,"No
"
688,XIAP,1,1,149,0.7%,"Yes
"
689,TNIP1,1,1,149,0.7%,"No
"
690,COQ8A,1,1,149,0.7%,"No
"
691,DENND4C,1,1,149,0.7%,"No
"
692,NPLOC4,1,1,149,0.7%,"No
"
693,FAT4,2,2,149,1.3%,"Yes
"
694,APOA2,1,1,149,0.7%,"No
"
695,APOA4,1,1,149,0.7%,"No
"
696,APOB,2,2,149,1.3%,"No
"
697,TP63,1,1,149,0.7%,"Yes
"
698,PCNT,1,1,149,0.7%,"No
"
699,MACROD2,1,1,149,0.7%,"No
"
700,PCOLCE,1,1,149,0.7%,"No
"
701,ZNF273,1,1,149,0.7%,"No
"
702,ZNF268,1,1,149,0.7%,"No
"
703,NR1I3,1,1,149,0.7%,"No
"
704,MKI67,1,1,149,0.7%,"Yes
"
705,AHNAK2,1,1,149,0.7%,"No
"
706,SP5,1,1,149,0.7%,"No
"
707,SPRED2,1,1,149,0.7%,"No
"
708,OAF,1,1,149,0.7%,"No
"
709,EMC8,1,1,149,0.7%,"No
"
