,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
7723,H3C12,1,1,484,0.2%,"Yes
"
7724,GREB1,20,20,484,4.1%,"No
"
7725,TFDP1,3,3,484,0.6%,"No
"
7726,NUP93,6,6,484,1.2%,"Yes
"
7727,FBXL13,10,10,484,2.1%,"No
"
7728,NAPEPLD,6,6,484,1.2%,"No
"
7729,DEPDC5,21,21,484,4.3%,"No
"
7730,H3C4,5,4,484,0.8%,"Yes
"
7731,KDM4A,9,9,484,1.9%,"No
"
7732,TFAP2A,5,5,484,1.0%,"No
"
7733,ZNRF4,6,6,484,1.2%,"No
"
7734,PNPLA5,7,7,484,1.4%,"No
"
7735,TFAM,5,5,484,1.0%,"No
"
7736,TF,10,10,484,2.1%,"No
"
7737,H2BC21,3,3,484,0.6%,"No
"
7738,NFAM1,2,2,484,0.4%,"No
"
7739,TFF3,1,1,484,0.2%,"No
"
7740,H4C8,3,3,484,0.6%,"No
"
7741,CROCC,11,10,484,2.1%,"No
"
7742,H4C2,5,5,484,1.0%,"No
"
7743,TRAM2,2,2,484,0.4%,"No
"
7744,TFPI,2,2,484,0.4%,"No
"
7745,H4C11,1,1,484,0.2%,"No
"
7746,EMC2,5,5,484,1.0%,"No
"
7747,H4C3,6,5,484,1.0%,"No
"
7748,EDEM1,4,3,484,0.6%,"No
"
7749,TFRC,6,6,484,1.2%,"Yes
"
7750,H4C7,2,2,484,0.4%,"No
"
7751,TFR2,5,5,484,1.0%,"No
"
7752,TGFA,1,1,484,0.2%,"No
"
7753,H4C5,5,5,484,1.0%,"No
"
7754,PUM1,8,8,484,1.7%,"Yes
"
7755,CALML6,1,1,484,0.2%,"No
"
7756,TG,46,42,484,8.7%,"No
"
7757,RIMS2,44,39,484,8.1%,"No
"
7758,ELAPOR2,15,14,484,2.9%,"No
"
7759,H4C6,2,2,484,0.4%,"No
"
7760,PRORP,6,6,484,1.2%,"No
"
7761,H4C12,5,5,484,1.0%,"No
"
7762,RAPGEF2,14,13,484,2.7%,"No
"
7763,LRWD1,2,2,484,0.4%,"No
"
7764,UBE3C,10,10,484,2.1%,"No
"
7765,TFE3,7,6,484,1.2%,"Yes
"
7766,H4C4,5,5,484,1.0%,"No
"
7767,TFDP2,4,4,484,0.8%,"No
"
7768,GLDN,5,5,484,1.0%,"No
"
7769,LEFTY2,6,6,484,1.2%,"No
"
7770,TGFB3,2,2,484,0.4%,"No
"
7771,TGFBR1,4,4,484,0.8%,"Yes
"
7772,TGFBI,3,3,484,0.6%,"No
"
7773,TGFBR2,10,10,484,2.1%,"Yes
"
7774,TGM4,9,9,484,1.9%,"No
"
7775,TGFBR3,10,10,484,2.1%,"No
"
7776,MAD1L1,10,9,484,1.9%,"No
"
7777,TMEM140,3,3,484,0.6%,"No
"
7778,CWF19L1,1,1,484,0.2%,"No
"
7779,ZNF812P,6,6,484,1.2%,"No
"
7780,ATXN7L1,3,3,484,0.6%,"No
"
7781,CDHR3,11,11,484,2.3%,"No
"
7782,TGFB1,1,1,484,0.2%,"No
"
7783,HYAL3,4,4,484,0.8%,"No
"
7784,RBM41,2,2,484,0.4%,"No
"
7785,UBE2W,1,1,484,0.2%,"No
"
7786,ZFAND4,15,14,484,2.9%,"No
"
7787,TGFB2,5,5,484,1.0%,"No
"
7788,MCOLN3,10,9,484,1.9%,"No
"
7789,TGFB1I1,9,9,484,1.9%,"No
"
7790,LRRC36,8,8,484,1.7%,"No
"
7791,ACOXL,6,5,484,1.0%,"No
"
7792,GFOD2,8,8,484,1.7%,"No
"
7793,RHOT1,6,6,484,1.2%,"No
"
7794,COL21A1,20,20,484,4.1%,"No
"
7795,TMEM40,1,1,484,0.2%,"No
"
7796,MMEL1,8,8,484,1.7%,"No
"
7797,PREX2,46,43,484,8.9%,"Yes
"
7798,C4ORF19,2,2,484,0.4%,"No
"
7799,ANKRD13C,6,6,484,1.2%,"No
"
7800,APOLD1,1,1,484,0.2%,"No
"
7801,YJU2B,3,3,484,0.6%,"No
"
7802,CLPB,9,9,484,1.9%,"No
"
7803,OR1E1,3,3,484,0.6%,"No
"
7804,TH,3,3,484,0.6%,"No
"
7805,OR1E2,5,5,484,1.0%,"No
"
7806,THBS1,5,5,484,1.0%,"No
"
7807,THBD,3,3,484,0.6%,"No
"
7808,OR1D5,4,4,484,0.8%,"No
"
7809,CDHR1,10,10,484,2.1%,"No
"
7810,THBS3,7,7,484,1.4%,"No
"
7811,THBS2,35,33,484,6.8%,"No
"
7812,PPP6R3,7,7,484,1.4%,"No
"
7813,BRF2,5,5,484,1.0%,"No
"
7814,ORAI2,1,1,484,0.2%,"No
"
7815,TGM1,6,6,484,1.2%,"No
"
7816,OR1A1,7,7,484,1.4%,"No
"
7817,TBC1D19,7,7,484,1.4%,"No
"
7818,TRIM11,5,5,484,1.0%,"No
"
7819,TGIF1,5,4,484,0.8%,"No
"
7820,KLHL26,3,3,484,0.6%,"No
"
7821,PNPLA1,6,6,484,1.2%,"No
"
7822,TGM3,18,18,484,3.7%,"No
"
7823,FBXW7,21,21,484,4.3%,"Yes
"
7824,TGM2,6,6,484,1.2%,"No
"
7825,UEVLD,5,5,484,1.0%,"No
"
7826,CSRNP2,2,2,484,0.4%,"No
"
7827,BRIX1,1,1,484,0.2%,"No
"
7828,FAAP100,3,3,484,0.6%,"No
"
7829,TXNDC5,3,3,484,0.6%,"No
"
7830,RNF121,1,1,484,0.2%,"No
"
7831,WDR26,6,6,484,1.2%,"No
"
7832,CCDC91,5,5,484,1.0%,"No
"
7833,TASL,10,9,484,1.9%,"No
"
7834,ACTL8,5,5,484,1.0%,"No
"
7835,LMAN2L,4,4,484,0.8%,"No
"
7836,ELL3,2,2,484,0.4%,"No
"
7837,RNASEH1,3,3,484,0.6%,"No
"
7838,PIGZ,6,6,484,1.2%,"No
"
7839,NDEL1,2,2,484,0.4%,"No
"
7840,RUFY1,3,3,484,0.6%,"No
"
7841,THPO,3,3,484,0.6%,"No
"
7842,PLA2G6,6,6,484,1.2%,"No
"
7843,THRB,4,4,484,0.8%,"No
"
7844,PIP4K2B,3,2,484,0.4%,"No
"
7845,THRA,2,2,484,0.4%,"No
"
7846,TREML4,3,3,484,0.6%,"No
"
7847,OR1G1,3,3,484,0.6%,"No
"
7848,RPL7L1,1,1,484,0.2%,"No
"
