,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
459,TAF1,1,1,178,0.6%,"Yes
"
460,MEFV,1,1,178,0.6%,"No
"
461,TAF4,1,1,178,0.6%,"No
"
462,EPAS1,8,8,178,4.5%,"Yes
"
463,PRKD2,1,1,178,0.6%,"No
"
464,CLCN1,1,1,178,0.6%,"No
"
465,CLCA1,1,1,178,0.6%,"No
"
466,MECP2,1,1,178,0.6%,"No
"
467,PPP6C,1,1,178,0.6%,"Yes
"
468,IRF9,1,1,178,0.6%,"No
"
469,NBEAL2,1,1,178,0.6%,"No
"
470,FBXO28,1,1,178,0.6%,"No
"
471,PRG2,1,1,178,0.6%,"No
"
472,CLK2,1,1,178,0.6%,"No
"
473,EPHA3,1,1,178,0.6%,"Yes
"
474,SULF1,1,1,178,0.6%,"No
"
475,MORN4,1,1,178,0.6%,"No
"
476,PRRC2C,1,1,178,0.6%,"No
"
477,MXRA5,1,1,178,0.6%,"No
"
478,CA2,1,1,178,0.6%,"No
"
479,PCSK4,1,1,178,0.6%,"No
"
480,NT5C3A,1,1,178,0.6%,"No
"
481,EPB41,1,1,178,0.6%,"No
"
482,ABCC10,1,1,178,0.6%,"No
"
483,MRC2,1,1,178,0.6%,"No
"
484,HYDIN,1,1,178,0.6%,"No
"
485,MAP3K4,1,1,178,0.6%,"No
"
486,PRMT9,1,1,178,0.6%,"No
"
487,PRELP,1,1,178,0.6%,"No
"
488,RNF10,1,1,178,0.6%,"No
"
489,ABCA9,1,1,178,0.6%,"No
"
490,METTL1,1,1,178,0.6%,"No
"
491,ZNF569,1,1,178,0.6%,"No
"
492,EPHX1,1,1,178,0.6%,"No
"
493,CA11,1,1,178,0.6%,"No
"
494,CACNA1A,1,1,178,0.6%,"No
"
495,CACNA1C,1,1,178,0.6%,"No
"
496,CACNA1D,2,2,178,1.1%,"Yes
"
497,SLC9A4,1,1,178,0.6%,"No
"
498,CACNA1F,1,1,178,0.6%,"No
"
499,SUPT7L,1,1,178,0.6%,"No
"
500,WARS2,1,1,178,0.6%,"No
"
501,ZNF180,1,1,178,0.6%,"No
"
502,CFAP91,1,1,178,0.6%,"No
"
503,C20ORF85,1,1,178,0.6%,"No
"
504,SLC25A21,1,1,178,0.6%,"No
"
505,SEMG2,1,1,178,0.6%,"No
"
