,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
267,SCTR,1,1,123,0.8%,"No
"
268,SCT,1,1,123,0.8%,"No
"
269,NUP188,2,2,123,1.6%,"No
"
270,NUP54,1,1,123,0.8%,"No
"
271,VWA3A,1,1,123,0.8%,"No
"
272,SCRIB,1,1,123,0.8%,"No
"
273,RAPGEFL1,1,1,123,0.8%,"No
"
274,ZFYVE28,1,1,123,0.8%,"No
"
275,SNTG2,1,1,123,0.8%,"No
"
276,PLCE1,1,1,123,0.8%,"No
"
277,TPCN1,2,1,123,0.8%,"No
"
278,SVEP1,1,1,123,0.8%,"No
"
279,SCNN1A,1,1,123,0.8%,"No
"
280,SCNN1D,1,1,123,0.8%,"No
"
281,PLXNA3,1,1,123,0.8%,"No
"
282,C11ORF86,1,1,123,0.8%,"No
"
283,SOHLH1,1,1,123,0.8%,"No
"
284,TRH,1,1,123,0.8%,"No
"
285,TRIO,1,1,123,0.8%,"No
"
286,CPZ,1,1,123,0.8%,"No
"
287,CARD14,1,1,123,0.8%,"No
"
288,CD46,1,1,123,0.8%,"No
"
289,CNTRL,2,2,123,1.6%,"Yes
"
290,RLN3,1,1,123,0.8%,"No
"
291,SMG1,1,1,123,0.8%,"Yes
"
292,MYT1L,1,1,123,0.8%,"No
"
293,DOT1L,1,1,123,0.8%,"Yes
"
294,ALOX12,1,1,123,0.8%,"No
"
295,OVGP1,1,1,123,0.8%,"No
"
296,SNRNP35,1,1,123,0.8%,"No
"
297,NEUROG3,1,1,123,0.8%,"No
"
298,RAPGEF4,1,1,123,0.8%,"No
"
299,FRMPD3,3,3,123,2.4%,"No
"
300,ADGRG4,1,1,123,0.8%,"No
"
301,PPFIA3,1,1,123,0.8%,"No
"
302,AGPS,1,1,123,0.8%,"No
"
303,P4HB,1,1,123,0.8%,"No
"
304,TPPP,1,1,123,0.8%,"No
"
305,MARCHF7,1,1,123,0.8%,"No
"
306,ALOX5,1,1,123,0.8%,"No
"
307,ZHX3,1,1,123,0.8%,"No
"
308,HGSNAT,1,1,123,0.8%,"No
"
309,ZSWIM8,2,2,123,1.6%,"No
"
310,ALPL,1,1,123,0.8%,"No
"
311,EDN2,1,1,123,0.8%,"No
"
312,TRIOBP,2,2,123,1.6%,"No
"
313,P2RY2,1,1,123,0.8%,"No
"
314,S1PR3,1,1,123,0.8%,"No
"
315,TRPC3,1,1,123,0.8%,"No
"
316,TRANK1,1,1,123,0.8%,"No
"
317,TRPC5,1,1,123,0.8%,"No
"
318,TSHZ1,1,1,123,0.8%,"No
"
319,ETNPPL,1,1,123,0.8%,"No
"
320,PCSK6,1,1,123,0.8%,"No
"
321,RHOBTB1,1,1,123,0.8%,"No
"
322,UNC13A,1,1,123,0.8%,"No
"
323,ALPP,1,1,123,0.8%,"No
"
324,PLEKHG2,1,1,123,0.8%,"No
"
325,CCL25,1,1,123,0.8%,"No
"
326,ALX3,1,1,123,0.8%,"No
"
327,FBN3,1,1,123,0.8%,"No
"
328,PAQR8,1,1,123,0.8%,"No
"
