,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
1393,DNMT1,1,1,65,1.5%,"Yes
"
1394,SLC9C2,1,1,65,1.5%,"No
"
1395,TEPSIN,1,1,65,1.5%,"No
"
1396,AGRN,2,2,65,3.1%,"No
"
1397,COL17A1,1,1,65,1.5%,"No
"
1398,MSRB1,1,1,65,1.5%,"No
"
1399,COL16A1,1,1,65,1.5%,"No
"
1400,GBX2,1,1,65,1.5%,"No
"
1401,KLF15,1,1,65,1.5%,"No
"
1402,COPA,1,1,65,1.5%,"No
"
1403,TMEM31,1,1,65,1.5%,"No
"
1404,MYPN,1,1,65,1.5%,"No
"
1405,CFAP54,1,1,65,1.5%,"No
"
1406,DOCK3,1,1,65,1.5%,"No
"
1407,PIWIL4,1,1,65,1.5%,"No
"
1408,EHD3,1,1,65,1.5%,"No
"
1409,CCDC62,1,1,65,1.5%,"No
"
1410,COL28A1,1,1,65,1.5%,"No
"
1411,RASGEF1B,1,1,65,1.5%,"No
"
1412,CXXC1,1,1,65,1.5%,"No
"
1413,AGBL1,2,2,65,3.1%,"No
"
1414,FAT3,1,1,65,1.5%,"No
"
1415,SPZ1,1,1,65,1.5%,"No
"
1416,CCNT1,1,1,65,1.5%,"No
"
1417,ZNF354C,1,1,65,1.5%,"No
"
1418,RIMS1,1,1,65,1.5%,"No
"
1419,ZNF106,1,1,65,1.5%,"No
"
1420,KDM2A,1,1,65,1.5%,"No
"
1421,HMGXB3,1,1,65,1.5%,"No
"
1422,CEP131,1,1,65,1.5%,"No
"
1423,CEP152,1,1,65,1.5%,"No
"
1424,POLR1D,1,1,65,1.5%,"No
"
1425,LARGE2,1,1,65,1.5%,"No
"
1426,GEM,1,1,65,1.5%,"No
"
1427,CNOT2,1,1,65,1.5%,"No
"
1428,RNASEH2A,1,1,65,1.5%,"Yes
"
1429,FMN2,1,1,65,1.5%,"No
"
1430,ZFAT,1,1,65,1.5%,"No
"
1431,NYAP2,1,1,65,1.5%,"No
"
1432,UBD,1,1,65,1.5%,"No
"
1433,GDI2,1,1,65,1.5%,"No
"
1434,RCOR2,1,1,65,1.5%,"No
"
1435,LLGL2,1,1,65,1.5%,"No
"
1436,ATG7,1,1,65,1.5%,"No
"
1437,CCR2,1,1,65,1.5%,"No
"
1438,PNP,1,1,65,1.5%,"No
"
1439,COL23A1,1,1,65,1.5%,"No
"
1440,PSMC6,1,1,65,1.5%,"No
"
1441,EP400,1,1,65,1.5%,"Yes
"
1442,FBXO41,1,1,65,1.5%,"No
"
1443,HDAC11,1,1,65,1.5%,"No
"
1444,COX7A1,1,1,65,1.5%,"No
"
1445,MAP9,1,1,65,1.5%,"No
"
1446,ZNF653,1,1,65,1.5%,"No
"
1447,CD5,1,1,65,1.5%,"No
"
1448,NOTCH1,1,1,65,1.5%,"Yes
"
1449,CD5L,2,2,65,3.1%,"No
"
1450,CD7,1,1,65,1.5%,"No
"
1451,NOTCH3,1,1,65,1.5%,"Yes
"
1452,DENND5B,1,1,65,1.5%,"No
"
1453,WNK3,1,1,65,1.5%,"No
"
1454,ANKRD11,1,1,65,1.5%,"Yes
"
1455,COX15,1,1,65,1.5%,"No
"
1456,ANKRD7,1,1,65,1.5%,"No
"
1457,ZNF436-AS1,1,1,65,1.5%,"No
"
1458,LILRB5,1,1,65,1.5%,"No
"
1459,NPHS1,2,2,65,3.1%,"No
"
1460,SEMA3C,1,1,65,1.5%,"No
"
1461,IGLC3,1,1,65,1.5%,"No
"
1462,CEMP1,1,1,65,1.5%,"No
"
1463,CPT1A,1,1,65,1.5%,"No
"
1464,IKBKB,1,1,65,1.5%,"Yes
"
1465,MAST1,1,1,65,1.5%,"No
"
1466,ACIN1,1,1,65,1.5%,"No
"
1467,SORCS3,1,1,65,1.5%,"No
"
1468,PTEN,6,6,65,9.2%,"Yes
"
1469,PPM1K,1,1,65,1.5%,"No
"
1470,IGSF1,1,1,65,1.5%,"No
"
1471,FAM209B,1,1,65,1.5%,"No
"
1472,CD80,1,1,65,1.5%,"No
"
1473,EFCAB8,1,1,65,1.5%,"No
"
1474,UVSSA,1,1,65,1.5%,"No
"
1475,ILKAP,2,2,65,3.1%,"No
"
1476,PSME2,1,1,65,1.5%,"No
"
1477,CD33,1,1,65,1.5%,"No
"
1478,TAS2R38,1,1,65,1.5%,"No
"
1479,KMT2C,1,1,65,1.5%,"Yes
"
1480,NRAP,1,1,65,1.5%,"No
"
1481,NRAS,1,1,65,1.5%,"Yes
"
1482,SSC4D,2,2,65,3.1%,"No
"
1483,VWDE,1,1,65,1.5%,"No
"
1484,SLC18B1,1,1,65,1.5%,"No
"
1485,PHRF1,1,1,65,1.5%,"No
"
1486,OR2A2,1,1,65,1.5%,"No
"
1487,POLDIP2,1,1,65,1.5%,"No
"
1488,CPT2,1,1,65,1.5%,"No
"
1489,IL1R1,1,1,65,1.5%,"No
"
1490,DROSHA,1,1,65,1.5%,"Yes
"
1491,NPTX2,1,1,65,1.5%,"No
"
1492,NPY1R,1,1,65,1.5%,"No
"
1493,NPY2R,1,1,65,1.5%,"No
"
1494,RBM25,1,1,65,1.5%,"No
"
1495,OR1S2,1,1,65,1.5%,"No
"
1496,ZCWPW2,1,1,65,1.5%,"No
"
1497,PTGFRN,1,1,65,1.5%,"No
"
1498,FGA,1,1,65,1.5%,"No
"
1499,CRHR2,1,1,65,1.5%,"No
"
1500,HSPA12B,1,1,65,1.5%,"No
"
1501,PALM3,1,1,65,1.5%,"No
"
1502,TCHHL1,1,1,65,1.5%,"No
"
1503,GPSM1,1,1,65,1.5%,"No
"
1504,MARCHF1,1,1,65,1.5%,"No
"
1505,PEAR1,1,1,65,1.5%,"No
"
1506,SLC39A7,1,1,65,1.5%,"No
"
1507,SEMA6B,1,1,65,1.5%,"No
"
