,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
7412,DOP1B,7,6,366,1.6%,"No
"
7413,NUMB,2,2,366,0.5%,"No
"
7414,UBE2D3,4,4,366,1.1%,"No
"
7415,UBE2D2,2,1,366,0.3%,"No
"
7416,UBE2E2,1,1,366,0.3%,"No
"
7417,DDX3Y,3,3,366,0.8%,"No
"
7418,THOC1,1,1,366,0.3%,"No
"
7419,PDE5A,1,1,366,0.3%,"No
"
7420,REC8,1,1,366,0.3%,"No
"
7421,APOH,2,2,366,0.5%,"No
"
7422,APP,6,6,366,1.6%,"No
"
7423,KLK3,1,1,366,0.3%,"No
"
7424,FAS,1,1,366,0.3%,"Yes
"
7425,FASLG,2,1,366,0.3%,"No
"
7426,SHROOM2,3,3,366,0.8%,"No
"
7427,AQP1,3,3,366,0.8%,"No
"
7428,AQP2,3,3,366,0.8%,"No
"
7429,UBC,3,3,366,0.8%,"No
"
7430,NCOA1,2,2,366,0.5%,"Yes
"
7431,LAMTOR3,1,1,366,0.3%,"No
"
7432,UBA7,2,2,366,0.5%,"No
"
7433,CHRD,2,2,366,0.5%,"No
"
7434,UBA1,4,4,366,1.1%,"No
"
7435,ABCB11,4,4,366,1.1%,"No
"
7436,EIF3B,1,1,366,0.3%,"No
"
7437,EIF3C,1,1,366,0.3%,"No
"
7438,RGS10,1,1,366,0.3%,"No
"
7439,UBE2L3,1,1,366,0.3%,"No
"
7440,IRS2,2,2,366,0.5%,"Yes
"
7441,RGS7,6,6,366,1.6%,"No
"
7442,EIF3A,1,1,366,0.3%,"No
"
7443,RGS13,2,2,366,0.5%,"No
"
7444,UBE2N,4,4,366,1.1%,"No
"
7445,SCO2,1,1,366,0.3%,"No
"
7446,RGS12,5,5,366,1.4%,"No
"
7447,EIF3H,2,2,366,0.5%,"No
"
7448,RHAG,2,2,366,0.5%,"No
"
7449,EIF3D,3,3,366,0.8%,"No
"
7450,RGS16,2,2,366,0.5%,"No
"
7451,EIF3F,1,1,366,0.3%,"No
"
7452,AQP3,1,1,366,0.3%,"No
"
7453,SLC12A6,1,1,366,0.3%,"No
"
7454,AQP4,1,1,366,0.3%,"No
"
7455,AQP5,2,2,366,0.5%,"No
"
7456,AQP6,2,1,366,0.3%,"No
"
7457,AR,3,3,366,0.8%,"Yes
"
7458,ABCC6,5,4,366,1.1%,"No
"
7459,ARAF,3,3,366,0.8%,"Yes
"
7460,ALDH4A1,1,1,366,0.3%,"No
"
7461,DMTF1,1,1,366,0.3%,"No
"
7462,UBE2H,1,1,366,0.3%,"No
"
7463,TNKS,3,3,366,0.8%,"No
"
7464,PPP4R1,1,1,366,0.3%,"No
"
7465,RHO,2,2,366,0.5%,"No
"
7466,VAMP4,1,1,366,0.3%,"No
"
7467,UBTF,1,1,366,0.3%,"No
"
7468,SLC4A4,1,1,366,0.3%,"No
"
7469,GRK1,2,2,366,0.5%,"No
"
7470,UBP1,2,2,366,0.5%,"No
"
7471,EIF4G3,4,4,366,1.1%,"No
"
7472,UCHL1,2,2,366,0.5%,"No
"
7473,STX10,2,2,366,0.5%,"No
"
7474,RLN1,2,2,366,0.5%,"No
"
7475,BECN1,1,1,366,0.3%,"No
"
7476,STX16,3,3,366,0.8%,"No
"
7477,RING1,1,1,366,0.3%,"No
"
7478,RICTOR,7,7,366,1.9%,"Yes
"
7479,TRIM23,1,1,366,0.3%,"No
"
7480,AREG,1,1,366,0.3%,"No
"
7481,ARF1,1,1,366,0.3%,"No
"
7482,B4GALNT4,2,2,366,0.5%,"No
"
7483,RHCE,2,2,366,0.5%,"No
"
7484,UBE3A,1,1,366,0.3%,"No
"
7485,RHEB,2,2,366,0.5%,"Yes
"
7486,EIF3J,2,2,366,0.5%,"No
"
7487,UCP3,1,1,366,0.3%,"No
"
7488,UCP2,2,2,366,0.5%,"No
"
7489,MARCO,3,3,366,0.8%,"No
"
7490,KRT37,2,2,366,0.5%,"No
"
7491,KRT36,2,2,366,0.5%,"No
"
7492,KRT38,4,4,366,1.1%,"No
"
7493,JMJD7-PLA2G4B,4,4,366,1.1%,"No
"
7494,ARG1,1,1,366,0.3%,"No
"
7495,UCP1,3,3,366,0.8%,"No
"
7496,ARG2,1,1,366,0.3%,"No
"
7497,RHOB,3,3,366,0.8%,"No
"
7498,RHOC,1,1,366,0.3%,"No
"
7499,RLF,5,5,366,1.4%,"No
"
7500,UCN,1,1,366,0.3%,"No
"
7501,UPK1B,1,1,366,0.3%,"No
"
7502,RLN2,1,1,366,0.3%,"No
"
7503,UGT2B4,6,6,366,1.6%,"No
"
7504,UGT2B10,5,5,366,1.4%,"No
"
7505,GALNT4,2,2,366,0.5%,"No
"
7506,UGT2B7,3,3,366,0.8%,"No
"
7507,DGAT1,1,1,366,0.3%,"No
"
7508,RNASE2,1,1,366,0.3%,"No
"
7509,UGT2B17,1,1,366,0.3%,"No
"
7510,RNASE1,1,1,366,0.3%,"No
"
7511,UGT2B15,3,3,366,0.8%,"No
"
7512,RNASE4,1,1,366,0.3%,"No
"
7513,UMOD,2,2,366,0.5%,"No
"
7514,RNASE3,1,1,366,0.3%,"No
"
7515,UGT8,1,1,366,0.3%,"No
"
7516,S1PR4,1,1,366,0.3%,"No
"
7517,RHOG,1,1,366,0.3%,"No
"
7518,ARHGAP5,3,3,366,0.8%,"No
"
7519,ARHGAP6,2,2,366,0.5%,"No
"
7520,UGP2,2,2,366,0.5%,"No
"
7521,ARHGDIA,2,2,366,0.5%,"No
"
7522,RBMXL1,1,1,366,0.3%,"No
"
7523,RHOH,1,1,366,0.3%,"Yes
"
7524,ANKRD30BL,1,1,366,0.3%,"No
"
7525,TCEANC,2,2,366,0.5%,"No
"
7526,UNG,1,1,366,0.3%,"No
"
