,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
8390,TFAP2A,2,2,255,0.8%,"No
"
8391,OR1L1,1,1,255,0.4%,"No
"
8392,ZNRF4,1,1,255,0.4%,"No
"
8393,TF,2,2,255,0.8%,"No
"
8394,H2BC21,1,1,255,0.4%,"No
"
8395,CROCC,2,2,255,0.8%,"No
"
8396,TFPI,1,1,255,0.4%,"No
"
8397,H4C11,1,1,255,0.4%,"No
"
8398,H4C3,2,2,255,0.8%,"No
"
8399,EDEM1,1,1,255,0.4%,"No
"
8400,TFR2,2,2,255,0.8%,"No
"
8401,PUM1,3,3,255,1.2%,"Yes
"
8402,TG,4,3,255,1.2%,"No
"
8403,RIMS2,4,4,255,1.6%,"No
"
8404,ELAPOR2,3,2,255,0.8%,"No
"
8405,H4C6,1,1,255,0.4%,"No
"
8406,UBE3C,4,3,255,1.2%,"No
"
8407,TFE3,1,1,255,0.4%,"Yes
"
8408,NUFIP1,1,1,255,0.4%,"No
"
8409,OR1J2,2,2,255,0.8%,"No
"
8410,TFDP2,2,2,255,0.8%,"No
"
8411,CC2D2B,2,2,255,0.8%,"No
"
8412,TGFBR1,2,2,255,0.8%,"Yes
"
8413,TGFBR3,2,2,255,0.8%,"No
"
8414,ATXN7L1,1,1,255,0.4%,"No
"
8415,CDHR3,2,2,255,0.8%,"No
"
8416,TGFB1,1,1,255,0.4%,"No
"
8417,HYAL3,1,1,255,0.4%,"No
"
8418,SIGLEC14,1,1,255,0.4%,"No
"
8419,UBE2W,1,1,255,0.4%,"No
"
8420,ZFAND4,1,1,255,0.4%,"No
"
8421,C9ORF50,2,2,255,0.8%,"No
"
8422,TGFB1I1,1,1,255,0.4%,"No
"
8423,GFOD2,1,1,255,0.4%,"No
"
8424,RHOT1,1,1,255,0.4%,"No
"
8425,COL21A1,1,1,255,0.4%,"No
"
8426,PREX2,5,5,255,2.0%,"Yes
"
8427,C4ORF19,4,3,255,1.2%,"No
"
8428,ANKRD13C,1,1,255,0.4%,"No
"
8429,YJU2B,1,1,255,0.4%,"No
"
8430,CLPB,2,2,255,0.8%,"No
"
8431,TH,1,1,255,0.4%,"No
"
8432,OR1E2,1,1,255,0.4%,"No
"
