,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
926,RSPH4A,2,2,86,2.3%,"No
"
927,LATS1,2,2,86,2.3%,"Yes
"
928,MROH2B,3,3,86,3.5%,"No
"
929,AWAT2,1,1,86,1.2%,"No
"
930,AWAT1,1,1,86,1.2%,"No
"
931,ZNF431,1,1,86,1.2%,"No
"
932,AKAP12,1,1,86,1.2%,"No
"
933,LINC02908,1,1,86,1.2%,"No
"
934,CPNE7,1,1,86,1.2%,"No
"
935,C3ORF36,1,1,86,1.2%,"No
"
936,MFSD2B,1,1,86,1.2%,"No
"
937,INVS,1,1,86,1.2%,"No
"
938,OR6K2,1,1,86,1.2%,"No
"
939,PLEKHD1,1,1,86,1.2%,"No
"
940,PCARE,1,1,86,1.2%,"No
"
941,KIF5C,1,1,86,1.2%,"No
"
942,MSH6,1,1,86,1.2%,"Yes
"
943,IL1RAPL2,1,1,86,1.2%,"No
"
944,ASCL4,1,1,86,1.2%,"No
"
945,ROS1,2,2,86,2.3%,"Yes
"
946,RORC,1,1,86,1.2%,"No
"
947,DSEL,1,1,86,1.2%,"No
"
948,RGPD3,1,1,86,1.2%,"No
"
949,ROBO2,1,1,86,1.2%,"No
"
950,SLC16A6,1,1,86,1.2%,"No
"
951,SLC25A36,1,1,86,1.2%,"No
"
952,ROCK1,2,2,86,2.3%,"No
"
953,ELAC2,1,1,86,1.2%,"No
"
954,USP25,1,1,86,1.2%,"No
"
955,KIT,1,1,86,1.2%,"Yes
"
956,BLNK,1,1,86,1.2%,"No
"
957,FRAS1,1,1,86,1.2%,"No
"
958,KCNG2,1,1,86,1.2%,"No
"
959,VPS13D,1,1,86,1.2%,"No
"
960,GTF2F1,1,1,86,1.2%,"No
"
961,C2ORF81,2,2,86,2.3%,"No
"
962,SPIRE2,1,1,86,1.2%,"No
"
963,OR2C3,1,1,86,1.2%,"No
"
964,CCDC168,1,1,86,1.2%,"No
"
965,DCTN1,1,1,86,1.2%,"Yes
"
966,ARID1A,1,1,86,1.2%,"Yes
"
967,PBRM1,2,2,86,2.3%,"Yes
"
968,NADSYN1,1,1,86,1.2%,"No
"
969,KCNQ4,1,1,86,1.2%,"No
"
970,STARD4,1,1,86,1.2%,"No
"
971,GUCY1A2,1,1,86,1.2%,"No
"
972,DISP1,1,1,86,1.2%,"No
"
973,DDC,1,1,86,1.2%,"No
"
974,GTF3C1,2,2,86,2.3%,"No
"
975,OR52R1,1,1,86,1.2%,"No
"
976,IGHV3-23,2,1,86,1.2%,"No
"
977,SLC13A4,2,2,86,2.3%,"No
"
978,C1ORF94,1,1,86,1.2%,"No
"
979,RHOXF1,1,1,86,1.2%,"No
"
980,DYRK1B,1,1,86,1.2%,"No
"
981,ACRBP,1,1,86,1.2%,"No
"
982,LENG8,1,1,86,1.2%,"No
"
983,SRRM3,2,2,86,2.3%,"No
"
984,GUF1,1,1,86,1.2%,"No
"
985,DCDC1,1,1,86,1.2%,"No
"
986,SPEM2,1,1,86,1.2%,"No
"
987,DDX1,2,2,86,2.3%,"No
"
988,GUCY2C,1,1,86,1.2%,"No
"
989,GUCY1A1,1,1,86,1.2%,"No
"
990,RAVER1,1,1,86,1.2%,"No
"
991,CFHR5,1,1,86,1.2%,"No
"
992,KLC1,2,2,86,2.3%,"No
"
993,SORCS1,2,2,86,2.3%,"No
"
994,ATP6V1H,1,1,86,1.2%,"No
"
995,CTDP1,1,1,86,1.2%,"No
"
996,KLHL3,1,1,86,1.2%,"No
"
997,CCDC30,1,1,86,1.2%,"No
"
998,SLC6A5,1,1,86,1.2%,"No
"
999,NAA15,1,1,86,1.2%,"No
"
1000,TLN2,2,2,86,2.3%,"No
"
1001,MYLK4,1,1,86,1.2%,"No
"
1002,KRAS,1,1,86,1.2%,"Yes
"
1003,PPARGC1B,1,1,86,1.2%,"No
"
1004,WASHC2A,1,1,86,1.2%,"No
"
1005,FUT4,1,1,86,1.2%,"No
"
1006,NDUFA10,1,1,86,1.2%,"No
"
1007,DIP2A,1,1,86,1.2%,"No
"
1008,SLC39A11,1,1,86,1.2%,"No
"
1009,MAK16,1,1,86,1.2%,"No
"
1010,SLC4A9,1,1,86,1.2%,"No
"
1011,KRT4,1,1,86,1.2%,"No
"
1012,NEB,2,2,86,2.3%,"No
"
1013,MAGI3,1,1,86,1.2%,"No
"
1014,LPAR2,1,1,86,1.2%,"No
"
1015,MAP3K13,1,1,86,1.2%,"Yes
"
1016,NRK,1,1,86,1.2%,"No
"
1017,CMTM7,1,1,86,1.2%,"No
"
1018,TUBB1,1,1,86,1.2%,"No
"
1019,TEDC2,1,1,86,1.2%,"No
"
1020,GANAB,1,1,86,1.2%,"No
"
1021,FBXL7,1,1,86,1.2%,"No
"
1022,DBX1,2,2,86,2.3%,"No
"
1023,FYB1,1,1,86,1.2%,"No
"
1024,MDN1,1,1,86,1.2%,"No
"
1025,TPP1,1,1,86,1.2%,"No
"
1026,PSME4,1,1,86,1.2%,"No
"
1027,KRT14,1,1,86,1.2%,"No
"
1028,MLXIP,1,1,86,1.2%,"No
"
1029,FREM1,1,1,86,1.2%,"No
"
1030,CNOT10,1,1,86,1.2%,"No
"
1031,KRT19,1,1,86,1.2%,"No
"
1032,RASSF9,1,1,86,1.2%,"No
"
1033,PPP6R1,1,1,86,1.2%,"No
"
1034,ARHGEF2,1,1,86,1.2%,"No
"
1035,TRIM8,1,1,86,1.2%,"No
"
1036,PLEKHA6,1,1,86,1.2%,"No
"
1037,PRICKLE1,1,1,86,1.2%,"No
"
1038,GAA,1,1,86,1.2%,"No
"
1039,NLE1,1,1,86,1.2%,"No
"
1040,FAM153B,1,1,86,1.2%,"No
"
1041,CCDC73,1,1,86,1.2%,"No
"
1042,TBX2,1,1,86,1.2%,"No
"
1043,ZFHX4,2,2,86,2.3%,"No
"
1044,MICALL2,1,1,86,1.2%,"No
"
1045,MMP24,1,1,86,1.2%,"No
"
1046,GPX8,1,1,86,1.2%,"No
"
1047,AARS2,1,1,86,1.2%,"No
"
1048,IFITM3,1,1,86,1.2%,"No
"
1049,TBCD,1,1,86,1.2%,"No
"
1050,ZNF608,1,1,86,1.2%,"No
"
1051,C9ORF131,1,1,86,1.2%,"No
"
1052,SLC6A17,1,1,86,1.2%,"No
"
1053,GABRB1,1,1,86,1.2%,"No
"
1054,DEDD,1,1,86,1.2%,"No
"
1055,CLSTN1,1,1,86,1.2%,"No
"
1056,TRMT13,1,1,86,1.2%,"No
"
1057,ABLIM3,2,2,86,2.3%,"No
"
1058,GABRA6,1,1,86,1.2%,"Yes
"
1059,ACER3,1,1,86,1.2%,"No
"
1060,SEC24B,2,2,86,2.3%,"No
"
1061,GABRA1,1,1,86,1.2%,"No
"
1062,ID4,1,1,86,1.2%,"No
"
1063,XPO5,1,1,86,1.2%,"No
"
1064,KRT34,1,1,86,1.2%,"No
"
1065,TESK2,1,1,86,1.2%,"No
"
1066,SEPTIN2,1,1,86,1.2%,"No
"
1067,RPL10A,1,1,86,1.2%,"No
"
1068,CCDC66,1,1,86,1.2%,"No
"
1069,CADM1,1,1,86,1.2%,"No
"
1070,PHLDB2,1,1,86,1.2%,"No
"
1071,TMEM229A,1,1,86,1.2%,"No
"
1072,NEK2,1,1,86,1.2%,"No
"
1073,ADNP2,1,1,86,1.2%,"No
"
1074,ANKRD26,1,1,86,1.2%,"No
"
1075,NEURL1B,1,1,86,1.2%,"No
"
1076,TRMT1L,1,1,86,1.2%,"No
"
1077,ZNF408,1,1,86,1.2%,"No
"
1078,EFHD1,1,1,86,1.2%,"No
"
1079,THEMIS,1,1,86,1.2%,"No
"
1080,TMEM9B,1,1,86,1.2%,"No
"
1081,RPTOR,1,1,86,1.2%,"Yes
"
1082,OR4K5,1,1,86,1.2%,"No
"
1083,BRWD1,1,1,86,1.2%,"No
"
1084,RANBP3L,1,1,86,1.2%,"No
"
1085,TBX21,1,1,86,1.2%,"No
"
1086,ZNF737,1,1,86,1.2%,"No
"
1087,CFAP58,1,1,86,1.2%,"No
"
1088,TBX3,1,1,86,1.2%,"Yes
"
1089,FGL2,1,1,86,1.2%,"No
"
1090,CAMK2G,1,1,86,1.2%,"No
"
1091,ESR2,1,1,86,1.2%,"No
"
1092,AMDHD1,1,1,86,1.2%,"No
"
1093,ATG14,1,1,86,1.2%,"No
"
1094,VNN3P,1,1,86,1.2%,"No
"
1095,NDC80,1,1,86,1.2%,"No
"
1096,SUGCT,1,1,86,1.2%,"No
"
1097,MAP2K7,1,1,86,1.2%,"No
"
1098,NUFIP2,1,1,86,1.2%,"No
"
1099,CAPG,1,1,86,1.2%,"No
"
1100,ACTL7B,1,1,86,1.2%,"No
"
1101,CAPN2,1,1,86,1.2%,"No
"
1102,CAPN3,2,2,86,2.3%,"No
"
1103,NEO1,1,1,86,1.2%,"No
"
1104,MAPK13,1,1,86,1.2%,"No
"
1105,MRPS30,1,1,86,1.2%,"No
"
1106,ALPK3,3,3,86,3.5%,"No
"
1107,WDR35,1,1,86,1.2%,"No
"
1108,OTOP1,2,2,86,2.3%,"No
"
1109,MAP2K2,1,1,86,1.2%,"Yes
"
1110,NPFFR2,1,1,86,1.2%,"No
"
1111,CAPZA1,1,1,86,1.2%,"No
"
1112,NEU2,1,1,86,1.2%,"No
"
1113,MAP2K3,1,1,86,1.2%,"No
"
1114,COBLL1,1,1,86,1.2%,"No
"
1115,NF2,21,20,86,23.3%,"Yes
"
1116,TRIM72,1,1,86,1.2%,"No
"
1117,CSMD3,2,2,86,2.3%,"No
"
1118,GALNT2,1,1,86,1.2%,"No
"
1119,CEP162,1,1,86,1.2%,"No
"
1120,TREML3P,1,1,86,1.2%,"No
"
1121,FMNL2,1,1,86,1.2%,"No
"
1122,CAST,1,1,86,1.2%,"No
"
1123,IFIT2,1,1,86,1.2%,"No
"
1124,ELFN2,1,1,86,1.2%,"No
"
1125,PIDD1,1,1,86,1.2%,"No
"
1126,PRPH,1,1,86,1.2%,"No
"
1127,RNF185,1,1,86,1.2%,"No
"
