,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
574,PRRC2C,1,1,36,2.8%,"No
"
575,PCSK4,1,1,36,2.8%,"No
"
576,MAP7D2,1,1,36,2.8%,"No
"
577,CA6,1,1,36,2.8%,"No
"
578,TRUB1,1,1,36,2.8%,"No
"
579,SYCP2,1,1,36,2.8%,"No
"
580,DOCK10,2,2,36,5.6%,"No
"
581,PSKH2,1,1,36,2.8%,"No
"
582,TAP1,1,1,36,2.8%,"Yes
"
583,PRKAA2,1,1,36,2.8%,"No
"
584,ABCA9,1,1,36,2.8%,"No
"
585,ICAM1,1,1,36,2.8%,"No
"
586,IBSP,1,1,36,2.8%,"No
"
587,CACNA1E,1,1,36,2.8%,"No
"
588,EPHA8,2,2,36,5.6%,"No
"
589,CACNA1F,1,1,36,2.8%,"No
"
590,SELL,2,1,36,2.8%,"No
"
591,AMBRA1,1,1,36,2.8%,"No
"
592,CHEK2,1,1,36,2.8%,"Yes
"
593,ZNF184,1,1,36,2.8%,"No
"
594,ZNF185,1,1,36,2.8%,"No
"
595,ZNF407,1,1,36,2.8%,"No
"
596,RGS20,1,1,36,2.8%,"No
"
597,ZNF598,2,2,36,5.6%,"No
"
598,NPM3,1,1,36,2.8%,"No
"
599,NPFFR1,1,1,36,2.8%,"No
"
600,TBATA,1,1,36,2.8%,"No
"
601,ERBB4,1,1,36,2.8%,"Yes
"
602,ZNF345,2,2,36,5.6%,"No
"
603,RTP4,1,1,36,2.8%,"No
"
604,ERBB2,2,2,36,5.6%,"Yes
"
605,UBR3,1,1,36,2.8%,"No
"
606,SLC39A4,1,1,36,2.8%,"No
"
607,WDR93,1,1,36,2.8%,"No
"
608,SMIM3,1,1,36,2.8%,"No
"
609,EPRS1,1,1,36,2.8%,"No
"
610,HAMP,1,1,36,2.8%,"No
"
611,HDX,1,1,36,2.8%,"No
"
612,CHD7,3,3,36,8.3%,"No
"
613,KIF14,1,1,36,2.8%,"No
"
614,AKAP13,1,1,36,2.8%,"No
"
615,AGAP5,1,1,36,2.8%,"No
"
616,AKAP11,1,1,36,2.8%,"No
"
617,PRKCD,1,1,36,2.8%,"No
"
618,PLPP1,1,1,36,2.8%,"No
"
619,XYLB,1,1,36,2.8%,"No
"
620,OR4Q3,1,1,36,2.8%,"No
"
621,OR52I1,1,1,36,2.8%,"No
"
622,CAD,1,1,36,2.8%,"Yes
"
623,ANKMY1,1,1,36,2.8%,"No
"
624,CALCB,1,1,36,2.8%,"No
"
625,BNC2,1,1,36,2.8%,"No
"
626,CALCR,2,2,36,5.6%,"No
"
627,ERCC2,1,1,36,2.8%,"Yes
"
628,AOX1,2,1,36,2.8%,"No
"
629,SLC25A12,1,1,36,2.8%,"No
"
630,ZNF730,1,1,36,2.8%,"No
"
631,PRKCA,1,1,36,2.8%,"No
"
632,PLA2G4C,1,1,36,2.8%,"No
"
633,ZP4,1,1,36,2.8%,"No
"
634,ZNF208,2,2,36,5.6%,"No
"
635,IRAG1,1,1,36,2.8%,"No
"
636,PRKDC,1,1,36,2.8%,"Yes
"
637,PRKG1,1,1,36,2.8%,"No
"
638,NIPBL,1,1,36,2.8%,"No
"
639,ZNF112,1,1,36,2.8%,"No
"
640,SGCA,1,1,36,2.8%,"No
"
641,NOD2,1,1,36,2.8%,"No
"
642,SULT4A1,1,1,36,2.8%,"No
"
643,PLXNB2,1,1,36,2.8%,"No
"
644,TMPRSS11A,1,1,36,2.8%,"No
"
645,INTS8,1,1,36,2.8%,"No
"
646,APC,1,1,36,2.8%,"Yes
"
647,PRKCQ,1,1,36,2.8%,"No
"
648,GPR85,1,1,36,2.8%,"No
"
649,MAGEC1,2,2,36,5.6%,"No
"
650,IL33,1,1,36,2.8%,"No
"
651,BIRC2,1,1,36,2.8%,"No
"
652,MVP,1,1,36,2.8%,"No
"
653,PCSK1,1,1,36,2.8%,"No
"
654,SLC23A2,1,1,36,2.8%,"No
"
655,DNAH17,2,2,36,5.6%,"No
"
656,CCBE1,1,1,36,2.8%,"No
"
657,BIRC3,1,1,36,2.8%,"Yes
"
658,FAM184A,2,2,36,5.6%,"No
"
659,PRPF40A,1,1,36,2.8%,"No
"
660,DENND4C,1,1,36,2.8%,"No
"
661,NPLOC4,1,1,36,2.8%,"No
"
662,APOA4,1,1,36,2.8%,"No
"
663,CDC37L1,1,1,36,2.8%,"No
"
664,APOB,3,3,36,8.3%,"No
"
665,SCG5,1,1,36,2.8%,"Yes
"
666,PCNT,1,1,36,2.8%,"No
"
667,VAMP5,1,1,36,2.8%,"No
"
668,MIDEAS,1,1,36,2.8%,"Yes
"
669,SIRPD,1,1,36,2.8%,"No
"
670,SLC30A1,1,1,36,2.8%,"No
"
671,ZNF268,1,1,36,2.8%,"No
"
672,MTHFD2,1,1,36,2.8%,"No
"
673,ZYX,2,2,36,5.6%,"No
"
674,RABGAP1,3,2,36,5.6%,"No
"
675,SHBG,1,1,36,2.8%,"No
"
676,NR1I3,1,1,36,2.8%,"No
"
677,DNAAF11,1,1,36,2.8%,"No
"
678,KLK5,1,1,36,2.8%,"No
"
679,MKI67,1,1,36,2.8%,"Yes
"
680,DCHS1,1,1,36,2.8%,"No
"
681,AHNAK2,1,1,36,2.8%,"No
"
682,TMTC2,1,1,36,2.8%,"No
"
683,SSBP2,1,1,36,2.8%,"No
"
684,NBPF1,1,1,36,2.8%,"No
"
685,PAOX,1,1,36,2.8%,"No
"
686,UNC93A,1,1,36,2.8%,"No
"
687,MED12,1,1,36,2.8%,"Yes
"
688,MED13,1,1,36,2.8%,"No
"
689,THRAP3,1,1,36,2.8%,"No
"
690,PDE3B,1,1,36,2.8%,"No
"
691,PDE4A,1,1,36,2.8%,"No
"
692,PDE4B,1,1,36,2.8%,"No
"
693,MAP3K11,1,1,36,2.8%,"No
"
694,PKHD1L1,2,2,36,5.6%,"No
"
695,KMT2A,1,1,36,2.8%,"Yes
"
696,MAGED1,2,2,36,5.6%,"Yes
"
697,STAB1,1,1,36,2.8%,"No
"
698,TIGD3,1,1,36,2.8%,"No
"
699,APP,1,1,36,2.8%,"No
"
700,CCNB3,2,2,36,5.6%,"Yes
"
701,MPRIP,1,1,36,2.8%,"No
"
702,NISCH,1,1,36,2.8%,"No
"
703,SLC12A8,1,1,36,2.8%,"No
"
704,CELF3,1,1,36,2.8%,"No
"
705,PDE9A,1,1,36,2.8%,"No
"
706,WBP4,1,1,36,2.8%,"No
"
707,EIF3H,2,1,36,2.8%,"No
"
708,PDGFRL,1,1,36,2.8%,"No
"
709,RHAG,1,1,36,2.8%,"No
"
710,CEP68,1,1,36,2.8%,"No
"
711,SLC12A6,1,1,36,2.8%,"No
"
712,ST6GAL1,1,1,36,2.8%,"No
"
713,FUZ,1,1,36,2.8%,"No
"
714,DNAJC14,1,1,36,2.8%,"No
"
715,AR,1,1,36,2.8%,"Yes
"
716,ARAF,2,2,36,5.6%,"Yes
"
717,FGFRL1,1,1,36,2.8%,"No
"
718,UBR1,2,2,36,5.6%,"No
"
719,PPP4R1,1,1,36,2.8%,"No
"
720,SIPA1,1,1,36,2.8%,"No
"
721,UBTF,1,1,36,2.8%,"No
"
722,RIT1,1,1,36,2.8%,"Yes
"
723,CLEC14A,1,1,36,2.8%,"No
"
724,NACAD,1,1,36,2.8%,"No
"
725,ZFR,1,1,36,2.8%,"No
"
726,PDGFRB,1,1,36,2.8%,"Yes
"
727,UBE3A,1,1,36,2.8%,"No
"
728,MARCO,1,1,36,2.8%,"No
"
729,UFD1,1,1,36,2.8%,"No
"
730,ACADVL,1,1,36,2.8%,"No
"
731,GMFG,1,1,36,2.8%,"No
"
