,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
3018,SDK2,7,6,514,1.2%,"No
"
3019,GGH,1,1,514,0.2%,"No
"
3020,GABRQ,1,1,514,0.2%,"No
"
3021,RNF32,2,2,514,0.4%,"No
"
3022,CLMP,2,1,514,0.2%,"No
"
3023,XK,2,2,514,0.4%,"No
"
3024,CCN5,2,2,514,0.4%,"No
"
3025,RASGRP1,1,1,514,0.2%,"No
"
3026,OTUD6A,1,1,514,0.2%,"No
"
3027,ARL4A,3,3,514,0.6%,"No
"
3028,CFLAR,1,1,514,0.2%,"No
"
3029,ZNF263,1,1,514,0.2%,"No
"
3030,XPC,1,1,514,0.2%,"Yes
"
3031,CCN6,1,1,514,0.2%,"Yes
"
3032,DICER1,3,2,514,0.4%,"Yes
"
3033,COTL1,1,1,514,0.2%,"No
"
3034,SIRT5,2,2,514,0.4%,"No
"
3035,ASAP2,1,1,514,0.2%,"No
"
3036,SIRT4,1,1,514,0.2%,"No
"
3037,XRCC5,2,2,514,0.4%,"No
"
3038,ZNF276,3,3,514,0.6%,"No
"
3039,AKAP4,6,6,514,1.2%,"No
"
3040,TAS1R2,3,3,514,0.6%,"No
"
3041,ATP13A2,1,1,514,0.2%,"No
"
3042,FBXO46,2,2,514,0.4%,"No
"
3043,GNL3L,1,1,514,0.2%,"No
"
3044,TLCD3A,1,1,514,0.2%,"No
"
3045,MAGEL2,1,1,514,0.2%,"No
"
3046,AVPR1A,4,4,514,0.8%,"No
"
3047,AVPR1B,1,1,514,0.2%,"No
"
3048,AVPR2,3,1,514,0.2%,"No
"
3049,ING3,1,1,514,0.2%,"No
"
3050,TM4SF20,1,1,514,0.2%,"No
"
3051,DCST2,5,3,514,0.6%,"No
"
3052,WSB2,1,1,514,0.2%,"No
"
3053,AXL,2,2,514,0.4%,"Yes
"
3054,ALKBH1,2,2,514,0.4%,"No
"
3055,NEK11,2,2,514,0.4%,"No
"
3056,XRCC2,2,2,514,0.4%,"Yes
"
3057,KSR1,4,4,514,0.8%,"No
"
3058,SPATA6,3,2,514,0.4%,"No
"
3059,ZKSCAN7,1,1,514,0.2%,"No
"
3060,KCNH3,2,2,514,0.4%,"No
"
3061,LDB1,2,2,514,0.4%,"No
"
3062,MLYCD,3,1,514,0.2%,"No
"
3063,CRB1,2,2,514,0.4%,"No
"
3064,YWHAG,1,1,514,0.2%,"No
"
3065,PER2,2,1,514,0.2%,"No
"
3066,YWHAZ,1,1,514,0.2%,"No
"
3067,YWHAH,1,1,514,0.2%,"No
"
3068,PER3,3,3,514,0.6%,"No
"
3069,PCDH15,4,4,514,0.8%,"No
"
3070,DUSP16,1,1,514,0.2%,"No
"
3071,SIRT3,2,2,514,0.4%,"No
"
3072,GPRASP3,2,2,514,0.4%,"No
"
3073,SIRT1,1,1,514,0.2%,"No
"
3074,GPRC5C,1,1,514,0.2%,"No
"
3075,ZFP91,2,1,514,0.2%,"No
"
3076,NCS1,1,1,514,0.2%,"No
"
3077,ZFPM2,2,2,514,0.4%,"No
"
3078,KCNH4,1,1,514,0.2%,"No
"
3079,TRIM10,1,1,514,0.2%,"No
"
3080,ZNF395,1,1,514,0.2%,"No
"
3081,AGBL2,3,3,514,0.6%,"No
"
3082,NHEJ1,1,1,514,0.2%,"No
"
3083,UNC45A,2,2,514,0.4%,"No
"
3084,FAM124B,1,1,514,0.2%,"No
"
3085,APOL4,1,1,514,0.2%,"No
"
3086,AZU1,1,1,514,0.2%,"No
"
3087,EPB41L4B,1,1,514,0.2%,"No
"
3088,ZBTB3,1,1,514,0.2%,"No
"
3089,APOL5,3,3,514,0.6%,"No
"
3090,RNF122,1,1,514,0.2%,"No
"
3091,ZDHHC11,2,2,514,0.4%,"No
"
3092,YES1,2,2,514,0.4%,"Yes
"
3093,FCGBP,6,6,514,1.2%,"No
"
3094,MFSD13A,1,1,514,0.2%,"No
"
3095,PROZ,2,2,514,0.4%,"No
"
3096,CFAP69,3,2,514,0.4%,"No
"
3097,NUBP2,1,1,514,0.2%,"No
"
3098,PDZD3,2,2,514,0.4%,"No
"
3099,CSPP1,4,3,514,0.6%,"No
"
3100,YWHAB,3,3,514,0.6%,"No
"
3101,STK19,3,2,514,0.4%,"Yes
"
3102,CENPBD1P,1,1,514,0.2%,"No
"
3103,SYNJ2,8,5,514,1.0%,"No
"
3104,NADK,1,1,514,0.2%,"Yes
"
3105,CDC123,2,2,514,0.4%,"No
"
3106,ZBTB14,1,1,514,0.2%,"No
"
3107,IER3,1,1,514,0.2%,"No
"
3108,ZFX,6,4,514,0.8%,"No
"
3109,ZFPL1,3,3,514,0.6%,"No
"
3110,VNN1,2,2,514,0.4%,"No
"
3111,ZIC1,1,1,514,0.2%,"No
"
3112,LNPK,1,1,514,0.2%,"No
"
3113,ZNF573,1,1,514,0.2%,"No
"
3114,BAAT,1,1,514,0.2%,"No
"
3115,BACH1,2,2,514,0.4%,"No
"
3116,CBLL1,3,2,514,0.4%,"No
"
3117,BAG1,1,1,514,0.2%,"No
"
3118,RPAP2,1,1,514,0.2%,"No
"
3119,RABEP2,2,2,514,0.4%,"No
"
3120,ADGRB1,4,4,514,0.8%,"No
"
3121,UGT1A6,1,1,514,0.2%,"No
"
3122,SLC5A11,4,4,514,0.8%,"No
"
3123,COL24A1,5,3,514,0.6%,"No
"
3124,UGT1A7,1,1,514,0.2%,"No
"
3125,THSD4,5,3,514,0.6%,"No
"
3126,EGFL8,1,1,514,0.2%,"No
"
3127,BAK1,1,1,514,0.2%,"No
"
3128,UGT1A8,3,3,514,0.6%,"No
"
3129,DCAKD,2,2,514,0.4%,"No
"
3130,RPS11,1,1,514,0.2%,"No
"
3131,SF1,2,1,514,0.2%,"No
"
3132,RPS10,1,1,514,0.2%,"No
"
3133,ZAP70,3,2,514,0.4%,"No
"
3134,CCDC134,1,1,514,0.2%,"No
"
3135,RPS12,1,1,514,0.2%,"No
"
3136,SYNJ1,6,3,514,0.6%,"No
"
3137,UGT1A5,1,1,514,0.2%,"No
"
3138,ZPR1,1,1,514,0.2%,"No
"
3139,NAE1,3,3,514,0.6%,"No
"
3140,ZNF711,3,3,514,0.6%,"No
"
3141,FUBP1,51,48,514,9.3%,"Yes
"
3142,ZNF3,2,1,514,0.2%,"No
"
3143,CDC16,2,2,514,0.4%,"No
"
3144,RPS19,1,1,514,0.2%,"No
"
3145,ZNF8,2,2,514,0.4%,"No
"
3146,ZNF7,2,2,514,0.4%,"No
"
3147,TAX1BP1,3,2,514,0.4%,"No
"
3148,CNBP,2,1,514,0.2%,"Yes
"
3149,PLEKHG7,2,1,514,0.2%,"No
"
3150,BARD1,3,2,514,0.4%,"Yes
"
3151,A3GALT2,1,1,514,0.2%,"No
"
3152,BAX,1,1,514,0.2%,"Yes
"
3153,BBS1,2,2,514,0.4%,"No
"
3154,LZTFL1,1,1,514,0.2%,"No
"
3155,BBS4,3,3,514,0.6%,"No
"
3156,BCAT1,1,1,514,0.2%,"No
"
3157,ZNF669,1,1,514,0.2%,"No
"
3158,TENT5B,1,1,514,0.2%,"No
"
3159,TREML2,3,3,514,0.6%,"No
"
3160,SETD7,2,1,514,0.2%,"Yes
"
3161,JHY,3,3,514,0.6%,"No
"
3162,KDM7A,3,3,514,0.6%,"No
"
3163,MXRA8,2,1,514,0.2%,"No
"
3164,TCTN2,2,1,514,0.2%,"No
"
3165,GRIP2,1,1,514,0.2%,"No
"
3166,EQTN,2,2,514,0.4%,"No
"
3167,BORA,2,2,514,0.4%,"No
"
3168,SH3BP5L,1,1,514,0.2%,"No
"
3169,ZIC3,2,2,514,0.4%,"No
"
3170,SGPL1,1,1,514,0.2%,"No
"
3171,CPSF7,1,1,514,0.2%,"No
"
3172,FAM83C,1,1,514,0.2%,"No
"
3173,ZIC2,1,1,514,0.2%,"No
"
3174,ALG13,4,3,514,0.6%,"No
"
3175,ZNF2,1,1,514,0.2%,"No
"
3176,SPHK1,1,1,514,0.2%,"No
"
3177,SQSTM1,2,2,514,0.4%,"Yes
"
3178,SUN3,1,1,514,0.2%,"No
"
3179,TMEM105,1,1,514,0.2%,"No
"
3180,ZNF14,3,2,514,0.4%,"No
"
3181,ZNF708,1,1,514,0.2%,"No
"
3182,ZNF17,1,1,514,0.2%,"No
"
3183,MTMR3,4,3,514,0.6%,"No
"
3184,ARPC1B,1,1,514,0.2%,"No
"
3185,ZNF16,2,1,514,0.2%,"No
"
3186,MTMR2,4,3,514,0.6%,"No
"
3187,ARPC3,1,1,514,0.2%,"No
"
3188,RRAD,2,2,514,0.4%,"No
"
3189,CPNE3,2,2,514,0.4%,"No
"
3190,ACTR2,2,2,514,0.4%,"No
"
3191,ZNF18,2,2,514,0.4%,"No
"
3192,BUD31,1,1,514,0.2%,"No
"
3193,GKN2,1,1,514,0.2%,"No
"
3194,EIF2B4,1,1,514,0.2%,"No
"
3195,BCKDHA,1,1,514,0.2%,"No
"
3196,BCKDHB,1,1,514,0.2%,"No
"
3197,CCND1,4,4,514,0.8%,"Yes
"
3198,PIERCE1,1,1,514,0.2%,"No
"
3199,SSX7,1,1,514,0.2%,"No
"
3200,BCL2,1,1,514,0.2%,"Yes
"
3201,HVCN1,1,1,514,0.2%,"No
"
3202,METTL26,1,1,514,0.2%,"No
"
3203,ZNF385B,3,3,514,0.6%,"No
"
3204,TSPAN5,1,1,514,0.2%,"No
"
3205,RPS24,1,1,514,0.2%,"No
"
3206,MCM3AP,5,4,514,0.8%,"No
"
3207,ZNF12,3,2,514,0.4%,"No
"
3208,RRM2,1,1,514,0.2%,"No
"
3209,ZNF24,2,2,514,0.4%,"Yes
"
3210,RRM1,5,4,514,0.8%,"No
"
3211,ZNF23,1,1,514,0.2%,"No
"
3212,PRAMEF10,2,2,514,0.4%,"No
"
3213,ZNF28,1,1,514,0.2%,"No
"
3214,RS1,3,3,514,0.6%,"No
"
3215,NUDT16L1,1,1,514,0.2%,"No
"
3216,LRRC39,2,1,514,0.2%,"No
"
3217,VPS25,2,2,514,0.4%,"No
"
3218,BRMS1L,2,2,514,0.4%,"No
"
3219,RRBP1,2,2,514,0.4%,"No
"
3220,ZNF182,2,2,514,0.4%,"No
"
3221,RRAS,1,1,514,0.2%,"Yes
"
3222,ZNF20,1,1,514,0.2%,"No
"
3223,PIM3,1,1,514,0.2%,"No
"
3224,PRPF4B,3,2,514,0.4%,"No
"
3225,HNRNPCL1,2,2,514,0.4%,"No
"
3226,RREB1,4,4,514,0.8%,"No
"
3227,RTN1,3,3,514,0.6%,"No
"
3228,RTN2,1,1,514,0.2%,"No
"
3229,ZNF35,1,1,514,0.2%,"No
"
3230,RXRA,1,1,514,0.2%,"Yes
"
3231,ZNF37A,2,1,514,0.2%,"No
"
3232,DPP3,1,1,514,0.2%,"No
"
3233,AADACL4,2,2,514,0.4%,"No
"
3234,DUOXA2,1,1,514,0.2%,"No
"
3235,RXRG,2,2,514,0.4%,"No
"
3236,ZSCAN21,1,1,514,0.2%,"No
"
3237,HUWE1,6,5,514,1.0%,"No
"
3238,SIK3,2,1,514,0.2%,"No
"
3239,TEX37,1,1,514,0.2%,"No
"
3240,MED13L,9,2,514,0.4%,"No
"
3241,C12ORF71,1,1,514,0.2%,"No
"
3242,ZNF32,2,2,514,0.4%,"No
"
3243,ZNF780B,1,1,514,0.2%,"No
"
3244,SRGAP2,2,1,514,0.2%,"No
"
3245,SMG5,1,1,514,0.2%,"No
"
3246,TECRL,1,1,514,0.2%,"No
"
3247,HEPACAM2,3,3,514,0.6%,"No
"
3248,MAU2,4,3,514,0.6%,"No
"
3249,SPECC1L,3,3,514,0.6%,"No
"
3250,NCSTN,3,2,514,0.4%,"Yes
"
3251,CLIP1,6,5,514,1.0%,"Yes
"
3252,TSPAN32,2,1,514,0.2%,"No
"
3253,RSC1A1,1,1,514,0.2%,"No
"
3254,ZSCAN20,2,2,514,0.4%,"No
"
3255,PTPRU,2,2,514,0.4%,"No
"
3256,ATP9A,5,5,514,1.0%,"No
"
3257,TSSC4,1,1,514,0.2%,"No
"
3258,HPS3,1,1,514,0.2%,"No
"
3259,AVPI1,1,1,514,0.2%,"No
"
3260,GFM2,1,1,514,0.2%,"No
"
3261,RYR3,10,8,514,1.6%,"No
"
3262,ZNF43,2,1,514,0.2%,"No
"
3263,RYR2,24,21,514,4.1%,"No
"
3264,PDCD7,2,2,514,0.4%,"No
"
3265,CDKL4,2,1,514,0.2%,"No
"
3266,USH1C,1,1,514,0.2%,"No
"
3267,FMC1-LUC7L2,1,1,514,0.2%,"No
"
3268,NCAPH,1,1,514,0.2%,"No
"
3269,RYR1,11,9,514,1.8%,"No
"
3270,ZNF41,5,5,514,1.0%,"No
"
3271,ZDHHC17,2,2,514,0.4%,"No
"
3272,ECPAS,5,2,514,0.4%,"No
"
3273,ZDHHC24,2,2,514,0.4%,"No
"
3274,LMOD2,3,3,514,0.6%,"No
"
3275,ADNP,1,1,514,0.2%,"No
"
3276,PIP5K1C,2,2,514,0.4%,"No
"
3277,SLC25A19,1,1,514,0.2%,"No
"
3278,RYK,1,1,514,0.2%,"No
"
3279,PCGF5,1,1,514,0.2%,"No
"
3280,KCNK7,2,1,514,0.2%,"No
"
3281,DYDC2,1,1,514,0.2%,"No
"
3282,ZNF827,1,1,514,0.2%,"No
"
3283,S100A2,1,1,514,0.2%,"No
"
3284,S100A7,1,1,514,0.2%,"No
"
3285,SMC4,4,4,514,0.8%,"No
"
3286,SLC17A4,5,5,514,1.0%,"No
"
3287,AP1M2,1,1,514,0.2%,"No
"
3288,ARHGEF12,3,3,514,0.6%,"Yes
"
3289,LARP1,1,1,514,0.2%,"No
"
3290,SORT1,3,3,514,0.6%,"No
"
3291,FNBP4,3,3,514,0.6%,"No
"
3292,ZNF629,3,3,514,0.6%,"No
"
3293,PSD3,4,4,514,0.8%,"No
"
3294,RNF113B,2,2,514,0.4%,"No
"
3295,OBSL1,1,1,514,0.2%,"No
"
3296,ADAP2,1,1,514,0.2%,"No
"
3297,ARFGAP2,1,1,514,0.2%,"No
"
3298,UBA2,3,2,514,0.4%,"No
"
3299,ABCC5,3,1,514,0.2%,"No
"
3300,IL26,1,1,514,0.2%,"No
"
3301,DNM1L,3,2,514,0.4%,"No
"
3302,HR,2,2,514,0.4%,"No
"
3303,LRP2BP,2,2,514,0.4%,"No
"
3304,S100A13,1,1,514,0.2%,"No
"
3305,ABCC9,7,4,514,0.8%,"No
"
3306,TRERF1,1,1,514,0.2%,"No
"
3307,ST6GALNAC1,2,2,514,0.4%,"No
"
3308,SAA2,3,2,514,0.4%,"No
"
3309,NR1H3,4,3,514,0.6%,"No
"
3310,ABCF2,2,2,514,0.4%,"No
"
3311,GARIN3,5,5,514,1.0%,"No
"
3312,ICE1,4,2,514,0.4%,"No
"
3313,S100A9,2,2,514,0.4%,"No
"
3314,ARHGEF18,3,3,514,0.6%,"No
"
3315,CMTM3,1,1,514,0.2%,"No
"
