,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
4969,ACSM5,2,2,490,0.4%,"No
"
4970,CZIB,2,2,490,0.4%,"No
"
4971,ULK4,1,1,490,0.2%,"No
"
4972,DUSP6,1,1,490,0.2%,"No
"
4973,DUSP5,1,1,490,0.2%,"No
"
4974,PPFIA4,2,2,490,0.4%,"No
"
4975,TMEM161B,1,1,490,0.2%,"No
"
4976,PPFIA2,1,1,490,0.2%,"No
"
4977,NR0B1,1,1,490,0.2%,"No
"
4978,CHD5,1,1,490,0.2%,"No
"
4979,SIPA1L1,2,2,490,0.4%,"No
"
4980,SS18L1,1,1,490,0.2%,"Yes
"
4981,BCL2L14,1,1,490,0.2%,"No
"
4982,TP73,2,2,490,0.4%,"No
"
4983,PPM1D,4,4,490,0.8%,"Yes
"
4984,HDGFL2,2,2,490,0.4%,"No
"
4985,HFM1,2,2,490,0.4%,"No
"
4986,FMNL3,2,2,490,0.4%,"No
"
4987,AHR,1,1,490,0.2%,"No
"
4988,TPBG,2,2,490,0.4%,"No
"
4989,CYSLTR2,1,1,490,0.2%,"Yes
"
4990,DDX53,1,1,490,0.2%,"No
"
4991,SUSD5,2,2,490,0.4%,"No
"
4992,PRRC2B,2,2,490,0.4%,"No
"
4993,PIGO,1,1,490,0.2%,"No
"
4994,ZNF451,1,1,490,0.2%,"No
"
4995,OR5V1,1,1,490,0.2%,"No
"
4996,OR2B2,1,1,490,0.2%,"No
"
4997,DVL3,1,1,490,0.2%,"No
"
4998,DVL2,2,2,490,0.4%,"No
"
4999,TPR,1,1,490,0.2%,"Yes
"
5000,CADPS2,1,1,490,0.2%,"No
"
5001,TPT1,2,2,490,0.4%,"No
"
5002,TUBA8,1,1,490,0.2%,"No
"
5003,ARHGAP18,1,1,490,0.2%,"No
"
5004,GALNT7,1,1,490,0.2%,"No
"
5005,TPTE,1,1,490,0.2%,"No
"
5006,PHAX,1,1,490,0.2%,"No
"
5007,REEP3,1,1,490,0.2%,"No
"
5008,ZNF500,1,1,490,0.2%,"No
"
5009,TPM3,1,1,490,0.2%,"Yes
"
5010,JMJD1C,4,4,490,0.8%,"No
"
5011,CAPZA3,1,1,490,0.2%,"No
"
5012,ZXDC,1,1,490,0.2%,"No
"
5013,LNX1,1,1,490,0.2%,"No
"
5014,TPO,2,2,490,0.4%,"No
"
5015,SETBP1,2,2,490,0.4%,"Yes
"
5016,FCRL2,2,2,490,0.4%,"No
"
5017,FAM81A,1,1,490,0.2%,"No
"
5018,RNF39,1,1,490,0.2%,"No
"
5019,LRRTM2,1,1,490,0.2%,"No
"
5020,TRPC7,2,2,490,0.4%,"No
"
5021,PGLYRP4,1,1,490,0.2%,"No
"
5022,MFSD4A,1,1,490,0.2%,"No
"
5023,RNF148,1,1,490,0.2%,"No
"
5024,TRAF6,1,1,490,0.2%,"No
"
5025,FOXI2,1,1,490,0.2%,"No
"
5026,DPP9,1,1,490,0.2%,"No
"
5027,GPR183,1,1,490,0.2%,"No
"
5028,RPAP1,1,1,490,0.2%,"No
"
5029,MCAT,1,1,490,0.2%,"No
"
5030,PRB2,2,2,490,0.4%,"No
"
5031,TRAV9-2,1,1,490,0.2%,"No
"
5032,LPAR5,2,2,490,0.4%,"No
"
5033,CRISP2,1,1,490,0.2%,"No
"
5034,NR2C2,1,1,490,0.2%,"No
"
5035,STAC3,1,1,490,0.2%,"No
"
5036,ASPG,3,3,490,0.6%,"No
"
5037,E4F1,2,2,490,0.4%,"No
"
5038,UTP20,2,2,490,0.4%,"No
"
5039,RRP7A,1,1,490,0.2%,"No
"
5040,FCRL5,1,1,490,0.2%,"No
"
5041,BEST3,1,1,490,0.2%,"No
"
5042,TENM4,4,4,490,0.8%,"No
"
5043,CD248,1,1,490,0.2%,"No
"
5044,SLC39A12,1,1,490,0.2%,"No
"
5045,E2F3,1,1,490,0.2%,"Yes
"
5046,RABGEF1,1,1,490,0.2%,"No
"
5047,PLXDC1,1,1,490,0.2%,"No
"
5048,CLRN3,1,1,490,0.2%,"No
"
5049,POLL,1,1,490,0.2%,"No
"
5050,PDCD1LG2,3,3,490,0.6%,"Yes
"
5051,ZNF311,2,2,490,0.4%,"No
"
5052,ZNF860,1,1,490,0.2%,"No
"
5053,OR2T4,1,1,490,0.2%,"No
"
5054,TYMP,1,1,490,0.2%,"No
"
5055,HOGA1,1,1,490,0.2%,"No
"
5056,SPSB2,1,1,490,0.2%,"No
"
5057,GCSAML,1,1,490,0.2%,"No
"
5058,NTRK3,2,2,490,0.4%,"Yes
"
5059,LRP10,2,2,490,0.4%,"No
"
5060,MAN1C1,1,1,490,0.2%,"No
"
5061,PCDHGA12,1,1,490,0.2%,"No
"
5062,PTCD1,1,1,490,0.2%,"No
"
5063,ZNF679,1,1,490,0.2%,"No
"
5064,COL5A3,8,7,490,1.4%,"No
"
5065,AP5B1,2,2,490,0.4%,"No
"
5066,FAM151A,1,1,490,0.2%,"No
"
5067,TNRC6A,1,1,490,0.2%,"No
"
5068,RTN4,1,1,490,0.2%,"No
"
5069,ADCK1,1,1,490,0.2%,"No
"
5070,CATSPERE,1,1,490,0.2%,"No
"
5071,SLC39A2,2,2,490,0.4%,"No
"
5072,PAK5,2,2,490,0.4%,"Yes
"
5073,JMY,1,1,490,0.2%,"No
"
5074,PCDH11X,4,4,490,0.8%,"No
"
5075,ANGPTL3,1,1,490,0.2%,"No
"
5076,RNPEPL1,1,1,490,0.2%,"No
"
5077,SRR,1,1,490,0.2%,"No
"
5078,NUMA1,2,2,490,0.4%,"Yes
"
5079,TRIM51,2,2,490,0.4%,"No
"
5080,HNRNPUL2,2,2,490,0.4%,"No
"
5081,TCF7L1,3,3,490,0.6%,"No
"
5082,MPV17L2,1,1,490,0.2%,"No
"
5083,NR4A2,1,1,490,0.2%,"No
"
5084,TRAV29DV5,1,1,490,0.2%,"No
"
5085,SLC39A3,1,1,490,0.2%,"No
"
5086,ECT2,1,1,490,0.2%,"No
"
5087,CRACR2A,1,1,490,0.2%,"No
"
5088,EPHA10,1,1,490,0.2%,"No
"
5089,RALGAPB,1,1,490,0.2%,"No
"
