,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
3162,FILIP1,3,2,200,1.0%,"No
"
3163,ATP13A5,1,1,200,0.5%,"No
"
3164,OSGIN2,1,1,200,0.5%,"No
"
3165,C9,2,2,200,1.0%,"No
"
3166,RGS1,1,1,200,0.5%,"No
"
3167,RGS3,1,1,200,0.5%,"No
"
3168,UNC5D,1,1,200,0.5%,"No
"
3169,BEX5,1,1,200,0.5%,"No
"
3170,NUBP1,1,1,200,0.5%,"No
"
3171,PROSER1,3,3,200,1.5%,"No
"
3172,SPG11,4,4,200,2.0%,"No
"
3173,SLC38A1,1,1,200,0.5%,"No
"
3174,DHX35,2,2,200,1.0%,"No
"
3175,GDPD5,1,1,200,0.5%,"No
"
3176,FGGY,1,1,200,0.5%,"No
"
3177,CPAMD8,2,2,200,1.0%,"No
"
3178,PGM2,1,1,200,0.5%,"No
"
3179,ARMC9,1,1,200,0.5%,"No
"
3180,INTU,1,1,200,0.5%,"No
"
3181,C1ORF216,1,1,200,0.5%,"No
"
3182,ALPK1,2,2,200,1.0%,"No
"
3183,ADGRE1,2,1,200,0.5%,"No
"
3184,ZNF142,1,1,200,0.5%,"No
"
3185,ESCO2,1,1,200,0.5%,"Yes
"
3186,DAGLA,2,2,200,1.0%,"No
"
3187,NARS1,2,1,200,0.5%,"No
"
3188,SDR42E1,1,1,200,0.5%,"No
"
3189,NASP,1,1,200,0.5%,"No
"
3190,ZBTB16,1,1,200,0.5%,"Yes
"
3191,ZNF148,1,1,200,0.5%,"No
"
3192,KLHDC7A,1,1,200,0.5%,"No
"
3193,NCL,1,1,200,0.5%,"No
"
3194,SEMA3A,2,2,200,1.0%,"No
"
3195,PRKD3,1,1,200,0.5%,"No
"
3196,EP300,5,5,200,2.5%,"Yes
"
3197,HTR7,1,1,200,0.5%,"No
"
3198,HTR5A,1,1,200,0.5%,"No
"
3199,ARPIN-AP3S2,1,1,200,0.5%,"No
"
3200,NHSL2,1,1,200,0.5%,"No
"
3201,CDAN1,2,1,200,0.5%,"No
"
3202,ENO3,1,1,200,0.5%,"No
"
3203,LDLRAD4,1,1,200,0.5%,"No
"
3204,ENO2,1,1,200,0.5%,"No
"
3205,CFAP300,1,1,200,0.5%,"No
"
3206,ADAMTS19,4,4,200,2.0%,"No
"
3207,ZNF155,2,2,200,1.0%,"No
"
