,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
9036,ODF3L2,1,1,402,0.2%,"No
"
9037,NDUFS5,1,1,402,0.2%,"No
"
9038,ECT2L,1,1,402,0.2%,"Yes
"
9039,C9ORF131,1,1,402,0.2%,"No
"
9040,SYNJ2BP,1,1,402,0.2%,"No
"
9041,NEDD9,2,2,402,0.5%,"No
"
9042,MUC13,2,1,402,0.2%,"No
"
9043,CDADC1,1,1,402,0.2%,"No
"
9044,NIPSNAP3B,2,2,402,0.5%,"No
"
9045,NXPH1,1,1,402,0.2%,"No
"
9046,WDR33,2,2,402,0.5%,"No
"
9047,ZNF493,1,1,402,0.2%,"No
"
9048,OR51V1,1,1,402,0.2%,"No
"
9049,SEPTIN2,1,1,402,0.2%,"No
"
9050,RPL10A,1,1,402,0.2%,"No
"
9051,NEK1,2,2,402,0.5%,"No
"
9052,NEK2,1,1,402,0.2%,"No
"
9053,IDH3B,1,1,402,0.2%,"No
"
9054,SHCBP1L,1,1,402,0.2%,"No
"
9055,TRMT1L,5,5,402,1.2%,"No
"
9056,TSC22D4,1,1,402,0.2%,"No
"
9057,IDH1,2,2,402,0.5%,"Yes
"
9058,PLCXD1,1,1,402,0.2%,"No
"
9059,IDE,2,2,402,0.5%,"No
"
9060,ERO1A,1,1,402,0.2%,"No
"
9061,SLC35C1,1,1,402,0.2%,"No
"
9062,STRBP,3,3,402,0.7%,"No
"
9063,CNOT6L,1,1,402,0.2%,"No
"
9064,SLC25A42,1,1,402,0.2%,"No
"
9065,AKIP1,3,3,402,0.7%,"No
"
9066,WDCP,1,1,402,0.2%,"Yes
"
9067,C11ORF16,2,2,402,0.5%,"No
"
9068,CSNK2A3,1,1,402,0.2%,"No
"
9069,ARHGEF35,1,1,402,0.2%,"No
"
9070,TNPO2,2,2,402,0.5%,"No
"
9071,TCP11L1,3,3,402,0.7%,"No
"
9072,OR4K5,1,1,402,0.2%,"No
"
9073,BRWD1,6,6,402,1.5%,"No
"
9074,ZGRF1,2,2,402,0.5%,"No
"
9075,PLEKHO2,1,1,402,0.2%,"No
"
9076,TBX21,2,2,402,0.5%,"No
"
9077,OR10H5,2,2,402,0.5%,"No
"
