,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
4440,ZNF587,7,6,566,1.1%,"No
"
4441,CLEC18B,11,11,566,1.9%,"No
"
4442,UTP4,2,2,566,0.4%,"No
"
4443,ERLIN1,1,1,566,0.2%,"No
"
4444,FIZ1,5,5,566,0.9%,"No
"
4445,TRIM3,14,14,566,2.5%,"No
"
4446,SPAG5,8,8,566,1.4%,"No
"
4447,ZNF566,9,9,566,1.6%,"No
"
4448,HEXIM1,8,6,566,1.1%,"No
"
4449,FAM104A,3,3,566,0.5%,"No
"
4450,STAMBP,4,4,566,0.7%,"No
"
4451,RBCK1,2,2,566,0.4%,"No
"
4452,ALG10,17,14,566,2.5%,"No
"
4453,TTC8,10,10,566,1.8%,"No
"
4454,TGOLN2,3,3,566,0.5%,"No
"
4455,TIFAB,5,5,566,0.9%,"No
"
4456,CTAGE9,4,4,566,0.7%,"No
"
4457,TMPPE,4,4,566,0.7%,"No
"
4458,PDLIM5,6,6,566,1.1%,"No
"
4459,ST6GALNAC2,3,3,566,0.5%,"No
"
4460,FAM136A,2,2,566,0.4%,"No
"
4461,OR6C1,7,7,566,1.2%,"No
"
4462,OR6C75,6,6,566,1.1%,"No
"
4463,IQCJ,7,7,566,1.2%,"No
"
4464,AOPEP,10,10,566,1.8%,"No
"
4465,ARHGEF39,1,1,566,0.2%,"No
"
4466,OR6C76,6,6,566,1.1%,"No
"
4467,OR6C70,3,3,566,0.5%,"No
"
4468,ZNF341,10,10,566,1.8%,"No
"
4469,ZNF382,17,15,566,2.7%,"No
"
4470,POLR3C,5,5,566,0.9%,"No
"
4471,TMEM87B,5,5,566,0.9%,"No
"
4472,TRIM16,5,5,566,0.9%,"No
"
4473,ATOH8,4,4,566,0.7%,"No
"
4474,IVNS1ABP,5,5,566,0.9%,"No
"
4475,SLC35B4,3,3,566,0.5%,"No
"
4476,TXNIP,4,4,566,0.7%,"No
"
4477,TAF6L,3,3,566,0.5%,"No
"
4478,CBLN3,2,2,566,0.4%,"No
"
4479,ARID3B,6,6,566,1.1%,"Yes
"
4480,POLR3G,2,2,566,0.4%,"No
"
4481,POLR3F,1,1,566,0.2%,"No
"
4482,SDSL,2,2,566,0.4%,"No
"
4483,GUCD1,2,2,566,0.4%,"No
"
4484,ZNRF1,3,3,566,0.5%,"No
"
4485,CCM2,2,2,566,0.4%,"No
"
4486,ZFYVE19,1,1,566,0.2%,"No
"
4487,C18ORF21,1,1,566,0.2%,"No
"
4488,AMMECR1L,4,4,566,0.7%,"No
"
4489,ATG4C,3,3,566,0.5%,"No
"
4490,KAT14,13,13,566,2.3%,"No
"
4491,MAEL,13,11,566,1.9%,"No
"
4492,CCDC12,2,1,566,0.2%,"No
"
4493,PBXIP1,12,11,566,1.9%,"No
"
4494,EIF4E3,2,2,566,0.4%,"No
"
4495,LTV1,2,2,566,0.4%,"No
"
4496,ABHD13,5,5,566,0.9%,"No
"
4497,CORO6,5,5,566,0.9%,"No
"
4498,C5ORF46,1,1,566,0.2%,"No
"
4499,ARHGEF37,10,10,566,1.8%,"No
"
4500,WDR73,2,2,566,0.4%,"No
"
4501,MSGN1,8,7,566,1.2%,"No
"
4502,FIBCD1,7,7,566,1.2%,"No
"
4503,NXF3,13,13,566,2.3%,"No
"
4504,SPRYD3,1,1,566,0.2%,"No
"
4505,SLC49A4,3,3,566,0.5%,"No
"
4506,TMEM209,5,5,566,0.9%,"No
"
4507,CDC42EP3,2,1,566,0.2%,"No
"
4508,ZNF287,12,11,566,1.9%,"No
"
4509,C8ORF76,4,4,566,0.7%,"No
"
4510,SMG9,8,8,566,1.4%,"No
"
4511,SENP7,15,15,566,2.7%,"No
"
4512,RAB2B,2,2,566,0.4%,"No
"
4513,JPH3,12,11,566,1.9%,"No
"
4514,TMEM47,4,4,566,0.7%,"No
"
4515,MEDAG,5,5,566,0.9%,"No
"
4516,SH2B2,6,6,566,1.1%,"No
"
4517,RITA1,3,3,566,0.5%,"No
"
4518,PAICS,1,1,566,0.2%,"No
"
4519,NXF2,7,7,566,1.2%,"No
"
4520,CBX8,2,2,566,0.4%,"No
"
4521,PAIP1,6,6,566,1.1%,"No
"
4522,RCN3,6,6,566,1.1%,"No
"
4523,MXD4,1,1,566,0.2%,"No
"
4524,TBL3,7,7,566,1.2%,"No
"
4525,ZNF286A,3,3,566,0.5%,"No
"
4526,MASTL,6,6,566,1.1%,"No
"
4527,USP16,5,5,566,0.9%,"No
"
4528,BROX,2,2,566,0.4%,"No
"
4529,MEF2B,1,1,566,0.2%,"Yes
"
4530,OTOS,3,3,566,0.5%,"No
"
4531,COPS9,1,1,566,0.2%,"No
"
4532,ZNF519,9,6,566,1.1%,"No
"
4533,EGLN3,10,9,566,1.6%,"No
"
4534,EGLN2,4,4,566,0.7%,"No
"
4535,GTSF1L,1,1,566,0.2%,"No
"
4536,RTL1,9,9,566,1.6%,"No
"
4537,COMMD1,3,3,566,0.5%,"No
"
4538,OR6B3,10,9,566,1.6%,"No
"
4539,TMEM201,1,1,566,0.2%,"No
"
4540,CXORF38,4,4,566,0.7%,"No
"
4541,ZBTB9,6,6,566,1.1%,"No
"
4542,MDGA2,51,42,566,7.4%,"No
"
4543,BNIP5,15,15,566,2.7%,"No
"
4544,SLC24A4,16,14,566,2.5%,"No
"
4545,C18ORF54,2,2,566,0.4%,"No
"
4546,TC2N,7,6,566,1.1%,"No
"
4547,PROM2,8,8,566,1.4%,"No
"
4548,FYB2,16,16,566,2.8%,"No
"
4549,FAM217A,2,2,566,0.4%,"No
"
4550,SAMD11,1,1,566,0.2%,"No
"
4551,CDYL2,6,6,566,1.1%,"No
"
4552,GMEB1,6,6,566,1.1%,"No
"
4553,FUT9,15,15,566,2.7%,"No
"
4554,THBS4-AS1,1,1,566,0.2%,"No
"
4555,MB21D2,12,12,566,2.1%,"No
"
4556,GARIN4,20,20,566,3.5%,"No
"
4557,CCT6B,13,12,566,2.1%,"Yes
"
4558,RRH,3,3,566,0.5%,"No
"
4559,CNPY3,4,4,566,0.7%,"No
"
4560,CCT8,2,2,566,0.4%,"No
"
4561,CORIN,20,19,566,3.4%,"No
"
4562,DEGS2,1,1,566,0.2%,"No
"
4563,CREB3L4,2,2,566,0.4%,"No
"
4564,NDUFAF6,3,3,566,0.5%,"No
"
4565,C1ORF127,12,12,566,2.1%,"No
"
4566,C6ORF136,1,1,566,0.2%,"No
"
4567,PROCA1,4,4,566,0.7%,"No
"
4568,B3GNT2,5,4,566,0.7%,"No
"
4569,PPP4R2,3,2,566,0.4%,"Yes
"
4570,DCTN6,1,1,566,0.2%,"No
"
4571,TMEM68,6,4,566,0.7%,"No
"
4572,RRAGA,1,1,566,0.2%,"No
"
4573,TNFSF13B,1,1,566,0.2%,"No
"
4574,GNA13,6,6,566,1.1%,"Yes
"
4575,CSPG5,4,4,566,0.7%,"No
"
4576,AVIL,2,2,566,0.4%,"No
"
4577,ADIG,2,2,566,0.4%,"No
"
4578,ATOH7,1,1,566,0.2%,"No
"
4579,TMEM130,8,8,566,1.4%,"No
"
4580,DHRS13,1,1,566,0.2%,"No
"
4581,EBP,3,3,566,0.5%,"No
"
4582,GNB5,6,6,566,1.1%,"No
"
4583,DLL3,6,6,566,1.1%,"No
"
4584,CLDN16,8,8,566,1.4%,"No
"
4585,ASB10,6,5,566,0.9%,"No
"
4586,KRTAP24-1,21,20,566,3.5%,"No
"
4587,PNMA2,2,2,566,0.4%,"No
"
4588,EPSTI1,6,6,566,1.1%,"No
"
4589,FERD3L,20,20,566,3.5%,"No
"
4590,TP53INP1,2,2,566,0.4%,"No
"
4591,RTP3,4,4,566,0.7%,"No
"
4592,NUDT12,6,5,566,0.9%,"No
"
4593,BCL2L12,2,2,566,0.4%,"No
"
4594,SOX7,10,9,566,1.6%,"No
"
4595,TMUB1,2,2,566,0.4%,"No
"
4596,AKR1E2,3,3,566,0.5%,"No
"
4597,THAP2,1,1,566,0.2%,"No
"
4598,GNG8,1,1,566,0.2%,"No
"
4599,FOXQ1,2,2,566,0.4%,"No
"
4600,EDNRA,4,4,566,0.7%,"No
"
4601,H2AZ2,2,2,566,0.4%,"No
"
4602,EDN3,9,9,566,1.6%,"No
"
4603,OPN4,12,12,566,2.1%,"No
"
4604,TMEM30B,1,1,566,0.2%,"No
"
4605,EDN2,1,1,566,0.2%,"No
"
4606,EDN1,2,2,566,0.4%,"No
"
4607,S1PR3,7,7,566,1.2%,"No
"
4608,FCSK,5,5,566,0.9%,"No
"
4609,LPAR1,4,4,566,0.7%,"No
"
4610,MLKL,5,5,566,0.9%,"No
"
4611,S1PR1,11,11,566,1.9%,"No
"
4612,LDHD,3,3,566,0.5%,"No
"
4613,EDNRB,16,16,566,2.8%,"No
"
4614,EEF1A2,9,9,566,1.6%,"No
"
4615,EEF1A1,9,8,566,1.4%,"No
"
4616,PHC2,5,5,566,0.9%,"No
"
4617,PHC1,3,3,566,0.5%,"No
"
4618,SYT6,11,11,566,1.9%,"No
"
4619,AMER2,13,13,566,2.3%,"No
"
4620,REM2,3,3,566,0.5%,"No
"
4621,SAMD9L,36,35,566,6.2%,"No
"
4622,EXOC3L1,7,7,566,1.2%,"No
"
4623,CES4A,1,1,566,0.2%,"No
"
4624,STEAP1B,3,3,566,0.5%,"No
"
4625,EIF2D,6,6,566,1.1%,"No
"
4626,EEF2,8,8,566,1.4%,"No
"
4627,EEF1G,2,2,566,0.4%,"No
"
4628,EEF1D,3,3,566,0.5%,"No
"
4629,EEF1B2,7,5,566,0.9%,"No
"
4630,FITM1,1,1,566,0.2%,"No
"
4631,ATAD3C,4,4,566,0.7%,"No
"
4632,PPP1R14A,1,1,566,0.2%,"No
"
4633,EFNA2,2,2,566,0.4%,"No
"
4634,EFNA1,1,1,566,0.2%,"No
"
4635,EFNB3,2,2,566,0.4%,"No
"
4636,EFNB2,4,4,566,0.7%,"No
"
4637,FAM76A,3,3,566,0.5%,"No
"
4638,EFNB1,2,2,566,0.4%,"No
"
4639,EFNA4,1,1,566,0.2%,"No
"
4640,EFNA3,2,2,566,0.4%,"No
"
4641,MEGF8,24,21,566,3.7%,"No
"
4642,MEGF6,14,14,566,2.5%,"No
"
4643,CELSR2,25,19,566,3.4%,"No
"
4644,CELSR3,37,32,566,5.7%,"No
"
4645,EGF,14,14,566,2.5%,"No
"
4646,NOMO2,4,4,566,0.7%,"No
"
4647,EGR2,3,3,566,0.5%,"No
"
4648,EGR1,6,6,566,1.1%,"Yes
"
4649,EGFR,86,70,566,12.4%,"Yes
"
4650,MEGF9,1,1,566,0.2%,"No
"
4651,EIF1AX,3,3,566,0.5%,"Yes
"
4652,ALG14,1,1,566,0.2%,"No
"
4653,EHHADH,14,13,566,2.3%,"No
"
4654,EGR4,3,3,566,0.5%,"No
"
4655,EGR3,3,3,566,0.5%,"No
"
4656,HEPACAM,8,7,566,1.2%,"No
"
4657,EPHA2,13,11,566,1.9%,"No
"
4658,EIF2S3,3,3,566,0.5%,"No
"
4659,EIF2B1,2,2,566,0.4%,"Yes
"
4660,C1QTNF6,1,1,566,0.2%,"No
"
4661,C1QTNF7,1,1,566,0.2%,"No
"
4662,FBXO32,1,1,566,0.2%,"No
"
4663,TMEM123,1,1,566,0.2%,"No
"
4664,ARFGEF3,18,18,566,3.2%,"No
"
4665,ZNF496,19,17,566,3.0%,"No
"
4666,C1QTNF4,1,1,566,0.2%,"No
"
4667,SERTM1,1,1,566,0.2%,"No
"
4668,RAX2,1,1,566,0.2%,"No
"
4669,LYRM2,1,1,566,0.2%,"No
"
4670,EIF4B,8,8,566,1.4%,"No
"
4671,EIF4A2,6,6,566,1.1%,"Yes
"
4672,SMAGP,1,1,566,0.2%,"No
"
4673,EIF4A1,2,2,566,0.4%,"No
"
4674,ERGIC1,1,1,566,0.2%,"No
"
4675,PPP4R3B,4,4,566,0.7%,"No
"
4676,HPDL,2,2,566,0.4%,"No
"
4677,EIF4EBP2,1,1,566,0.2%,"No
"
4678,EIF4E,5,5,566,0.9%,"Yes
"
4679,CELA1,4,4,566,0.7%,"No
"
4680,SNX14,15,14,566,2.5%,"No
"
4681,ZNF630,8,7,566,1.2%,"No
"
4682,NUDT14,1,1,566,0.2%,"No
"
4683,LRTM2,15,15,566,2.7%,"No
"
4684,ABHD14B,1,1,566,0.2%,"No
"
4685,EIF5A,3,3,566,0.5%,"No
"
4686,EIF5,3,3,566,0.5%,"No
"
4687,ADTRP,1,1,566,0.2%,"No
"
4688,EIF4G2,6,6,566,1.1%,"No
"
4689,EIF4G1,21,19,566,3.4%,"No
"
4690,PGP,1,1,566,0.2%,"No
"
4691,BRICD5,2,2,566,0.4%,"No
"
4692,HAP1,6,6,566,1.1%,"No
"
4693,F2RL3,2,2,566,0.4%,"No
"
4694,ARSI,9,9,566,1.6%,"No
"
4695,MROH6,3,3,566,0.5%,"No
"
4696,LRCH3,9,8,566,1.4%,"No
"
4697,ELF2,7,7,566,1.2%,"No
"
4698,PTPN5,14,14,566,2.5%,"No
"
4699,ELF1,13,13,566,2.3%,"No
"
4700,TMEM25,3,3,566,0.5%,"No
"
4701,ELAVL4,12,10,566,1.8%,"No
"
4702,CBR4,4,3,566,0.5%,"No
"
4703,ELAVL3,4,4,566,0.7%,"No
"
4704,HAVCR2,11,10,566,1.8%,"No
"
4705,LINC00922,1,1,566,0.2%,"No
"
