,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
812,ZNF283,16,14,440,3.2%,"No
"
813,LYPD5,2,2,440,0.5%,"No
"
814,CCDC157,11,11,440,2.5%,"No
"
815,ZNF575,2,2,440,0.5%,"No
"
816,CXCL17,2,2,440,0.5%,"No
"
817,PLEKHM2,16,16,440,3.6%,"No
"
818,SYT11,5,5,440,1.1%,"No
"
819,MLC1,8,8,440,1.8%,"No
"
820,OR4C12,21,20,440,4.5%,"No
"
821,OR4C13,33,29,440,6.6%,"No
"
822,M1AP,17,16,440,3.6%,"No
"
823,CLCNKA,27,22,440,5.0%,"No
"
824,USP49,8,7,440,1.6%,"No
"
825,CLCN7,18,18,440,4.1%,"No
"
826,ATP11B,19,15,440,3.4%,"No
"
827,WHRN,25,23,440,5.2%,"No
"
828,CLCN6,29,28,440,6.4%,"No
"
829,FAM168A,4,4,440,0.9%,"No
"
830,ABHD14A,1,1,440,0.2%,"No
"
831,CLCN5,25,23,440,5.2%,"No
"
832,CLCN4,13,13,440,3.0%,"No
"
833,PMPCA,8,8,440,1.8%,"No
"
834,CLCN3,19,16,440,3.6%,"No
"
835,ARL6IP1,6,6,440,1.4%,"No
"
836,PRKD2,17,17,440,3.9%,"No
"
837,CLCN2,21,20,440,4.5%,"No
"
838,ACSBG1,29,26,440,5.9%,"No
"
839,CLCN1,75,51,440,11.6%,"No
"
840,RASSF8,6,6,440,1.4%,"No
"
841,CLCA1,24,19,440,4.3%,"No
"
842,CLC,5,5,440,1.1%,"No
"
843,DUSP10,14,13,440,3.0%,"No
"
844,NLRC5,51,43,440,9.8%,"No
"
845,MST1L,1,1,440,0.2%,"No
"
846,ANTXR1,22,18,440,4.1%,"No
"
847,MRPL3,4,4,440,0.9%,"No
"
848,C19ORF44,14,13,440,3.0%,"No
"
849,BLTP1,144,98,440,22.3%,"No
"
850,RPL35,2,2,440,0.5%,"No
"
851,GALNT5,35,31,440,7.0%,"No
"
852,ASCC2,17,16,440,3.6%,"No
"
853,GALNT6,31,29,440,6.6%,"No
"
854,GTF2IRD2,6,6,440,1.4%,"No
"
855,NBEAL2,71,57,440,13.0%,"No
"
856,FBXO28,6,5,440,1.1%,"No
"
857,TSLP,4,4,440,0.9%,"No
"
858,CLK3,6,6,440,1.4%,"No
"
859,JMJD6,5,5,440,1.1%,"No
"
860,ZC3H4,35,28,440,6.4%,"No
"
861,CLK2,12,12,440,2.7%,"No
"
862,RRS1,5,5,440,1.1%,"No
"
863,LETMD1,5,5,440,1.1%,"No
"
864,CLK1,10,10,440,2.3%,"No
"
865,SULF1,49,38,440,8.6%,"No
"
866,MPC2,3,3,440,0.7%,"No
"
867,XPO6,26,21,440,4.8%,"No
"
868,CLIC2,9,9,440,2.0%,"No
"
869,PRRC2C,54,44,440,10.0%,"No
"
870,SPEF1,5,5,440,1.1%,"No
"
871,CLIC1,3,2,440,0.5%,"No
"
872,TBC1D1,36,32,440,7.3%,"No
"
873,DCAF13,15,15,440,3.4%,"No
"
874,CLU,19,19,440,4.3%,"No
"
875,ZFR2,18,13,440,3.0%,"No
"
876,MXRA5,226,143,440,32.5%,"No
"
877,ARID5B,32,26,440,5.9%,"Yes
"
878,NEPRO,8,8,440,1.8%,"No
"
879,CLCNKB,24,23,440,5.2%,"No
"
880,SUMF2,10,10,440,2.3%,"No
"
881,TRUB1,7,7,440,1.6%,"No
"
882,POLG2,10,10,440,2.3%,"No
"
883,SEC63,18,17,440,3.9%,"No
"
884,RPF2,4,4,440,0.9%,"No
"
885,HPS5,22,20,440,4.5%,"No
"
886,MKX,35,33,440,7.5%,"No
"
887,RNF139,3,3,440,0.7%,"No
"
888,PDCD10,6,6,440,1.4%,"No
"
889,CA5B,5,5,440,1.1%,"No
"
890,RNASEH2C,1,1,440,0.2%,"No
"
891,PSKH2,18,17,440,3.9%,"No
"
892,RNF24,2,2,440,0.5%,"No
"
893,PPP1R1B,5,5,440,1.1%,"No
"
894,SGMS2,6,4,440,0.9%,"No
"
895,MINDY4,26,22,440,5.0%,"No
"
896,PARM1,34,33,440,7.5%,"No
"
897,CHD6,71,63,440,14.3%,"No
"
898,ZNF831,170,111,440,25.2%,"No
"
899,METTL7A,9,9,440,2.0%,"No
"
900,ABTB2,29,27,440,6.1%,"No
"
901,YIPF3,10,10,440,2.3%,"No
"
902,MOB4,4,4,440,0.9%,"No
"
903,FAR1,12,10,440,2.3%,"No
"
904,TMEM164,10,8,440,1.8%,"No
"
905,C20ORF85,7,6,440,1.4%,"No
"
906,POLI,15,15,440,3.4%,"No
"
907,CHEK2,5,5,440,1.1%,"Yes
"
908,SLITRK6,50,41,440,9.3%,"No
"
909,KLK8,18,16,440,3.6%,"No
"
910,ZCCHC7,13,13,440,3.0%,"No
"
911,LOXL4,24,21,440,4.8%,"No
"
912,ZNF844,11,8,440,1.8%,"No
"
913,ZNF763,9,9,440,2.0%,"No
"
914,TECPR1,26,23,440,5.2%,"No
"
915,ZNF345,16,13,440,3.0%,"No
"
916,DCAF12,10,10,440,2.3%,"No
"
917,ARMC8,5,5,440,1.1%,"No
"
918,BRMS1,9,9,440,2.0%,"No
"
919,FAM149A,17,15,440,3.4%,"No
"
920,CTRB2,2,2,440,0.5%,"No
"
921,DDX20,16,16,440,3.6%,"No
"
922,TREX2,4,3,440,0.7%,"No
"
923,HDX,10,9,440,2.0%,"No
"
924,PLPBP,3,3,440,0.7%,"No
"
925,SLC49A3,10,10,440,2.3%,"No
"
926,APOOL,3,3,440,0.7%,"No
"
927,FZD10,10,10,440,2.3%,"No
"
928,AKAP13,48,39,440,8.9%,"No
"
929,ELMOD3,8,8,440,1.8%,"No
"
930,IRAK3,16,13,440,3.0%,"No
"
931,POLR1B,26,26,440,5.9%,"No
"
932,AKAP10,10,10,440,2.3%,"No
"
933,AKAP11,38,27,440,6.1%,"No
"
934,SLA2,17,17,440,3.9%,"No
"
935,OR2Z1,30,27,440,6.1%,"No
"
936,BACE2,14,14,440,3.2%,"No
"
937,TXN2,1,1,440,0.2%,"No
"
938,FBXL2,10,9,440,2.0%,"No
"
939,PROKR2,26,23,440,5.2%,"No
"
940,TMEM184B,11,11,440,2.5%,"No
"
941,OR4Q3,41,34,440,7.7%,"No
"
942,ZIM3,49,45,440,10.2%,"No
"
943,OSCAR,8,8,440,1.8%,"No
"
944,ARIH1,5,5,440,1.1%,"No
"
945,DMBX1,25,22,440,5.0%,"No
"
