,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
2860,ZNF3,3,2,494,0.4%,"No
"
2861,CDC16,1,1,494,0.2%,"No
"
2862,DDX18,1,1,494,0.2%,"No
"
2863,ZNF7,1,1,494,0.2%,"No
"
2864,TAX1BP1,2,1,494,0.2%,"No
"
2865,CNBP,1,1,494,0.2%,"Yes
"
2866,PLEKHG7,1,1,494,0.2%,"No
"
2867,BARD1,4,4,494,0.8%,"Yes
"
2868,BBS1,1,1,494,0.2%,"No
"
2869,BBS2,2,2,494,0.4%,"No
"
2870,TUBAL3,1,1,494,0.2%,"No
"
2871,GNB1L,1,1,494,0.2%,"No
"
2872,BBS4,2,2,494,0.4%,"No
"
2873,BCAT1,1,1,494,0.2%,"No
"
2874,ZNF669,1,1,494,0.2%,"No
"
2875,BCAT2,2,1,494,0.2%,"No
"
2876,SETD7,1,1,494,0.2%,"Yes
"
2877,KDM7A,2,2,494,0.4%,"No
"
2878,MXRA8,1,1,494,0.2%,"No
"
2879,TCTN2,1,1,494,0.2%,"No
"
2880,GRIP2,1,1,494,0.2%,"No
"
2881,EQTN,1,1,494,0.2%,"No
"
2882,ZIC3,1,1,494,0.2%,"No
"
2883,SGPL1,1,1,494,0.2%,"No
"
2884,CPSF7,2,2,494,0.4%,"No
"
2885,FAM83C,5,4,494,0.8%,"No
"
2886,SPHK1,1,1,494,0.2%,"No
"
2887,EIF2B5,1,1,494,0.2%,"No
"
2888,UST,1,1,494,0.2%,"No
"
2889,ZNF708,1,1,494,0.2%,"No
"
2890,EIF2B2,1,1,494,0.2%,"No
"
2891,ARPC5,1,1,494,0.2%,"No
"
2892,ZNF17,1,1,494,0.2%,"No
"
2893,MTMR3,3,3,494,0.6%,"No
"
2894,RPS27A,1,1,494,0.2%,"No
"
2895,ZNF16,1,1,494,0.2%,"No
"
2896,MTMR2,3,3,494,0.6%,"No
"
2897,RRAD,1,1,494,0.2%,"No
"
2898,ZNF19,2,2,494,0.4%,"No
"
2899,CPNE3,1,1,494,0.2%,"No
"
2900,ZNF18,3,2,494,0.4%,"No
"
2901,ACTR3,1,1,494,0.2%,"No
"
2902,ZNF781,2,2,494,0.4%,"No
"
2903,GKN2,1,1,494,0.2%,"No
"
2904,BCHE,4,4,494,0.8%,"No
"
2905,BCKDHA,1,1,494,0.2%,"No
"
2906,SSX7,1,1,494,0.2%,"No
"
2907,BCL2A1,1,1,494,0.2%,"No
"
2908,TSPAN5,1,1,494,0.2%,"No
"
2909,MCM3AP,5,3,494,0.6%,"No
"
2910,THOC3,1,1,494,0.2%,"No
"
2911,RRM2,2,2,494,0.4%,"No
"
2912,ZNF24,1,1,494,0.2%,"Yes
"
2913,ZNF23,2,2,494,0.4%,"No
"
2914,RTKN,2,2,494,0.4%,"No
"
2915,PRAMEF10,1,1,494,0.2%,"No
"
2916,ZNF28,3,3,494,0.6%,"No
"
2917,NUDT16L1,1,1,494,0.2%,"No
"
2918,LRRC39,1,1,494,0.2%,"No
"
2919,NAA38,1,1,494,0.2%,"No
"
2920,MON1A,1,1,494,0.2%,"No
"
2921,RRBP1,1,1,494,0.2%,"No
"
2922,ZNF182,4,4,494,0.8%,"No
"
2923,ZNF20,1,1,494,0.2%,"No
"
2924,PRPF4B,3,3,494,0.6%,"No
"
2925,MRPL45,1,1,494,0.2%,"No
"
2926,HNRNPCL1,1,1,494,0.2%,"No
"
2927,RREB1,3,3,494,0.6%,"No
"
2928,C7ORF50,1,1,494,0.2%,"No
"
2929,RTN1,1,1,494,0.2%,"No
"
2930,ZNF33B,2,2,494,0.4%,"No
"
2931,ZNF35,2,2,494,0.4%,"No
"
2932,RXRA,1,1,494,0.2%,"Yes
"
2933,ZNF37A,3,3,494,0.6%,"No
"
2934,DPP3,2,2,494,0.4%,"No
"
2935,AADACL4,6,6,494,1.2%,"No
"
2936,RXRG,1,1,494,0.2%,"No
"
2937,ZSCAN21,2,2,494,0.4%,"No
"
2938,HUWE1,9,9,494,1.8%,"No
"
2939,RXRB,1,1,494,0.2%,"No
"
2940,NUDCD3,1,1,494,0.2%,"No
"
2941,SIK3,4,3,494,0.6%,"No
"
2942,MED13L,4,2,494,0.4%,"No
"
